cuce,list_n,tipo_a,monto_a,tipo_b,monto_b,tipo_c,monto_c
20-1201-00-1050637-0-E,58,Total Adjudicado:,"50.000,00",Total Recepcionado:,"50.000,00",,
20-1201-00-1086086-1-1,59,Total Referencial:,"50.000,00",Total Recepcionado:,"50.000,00",,
20-1206-00-1040264-0-E,60,Total Adjudicado:,"42.720,00",Total Recepcionado:,"42.720,00",,
20-0902-40-1099465-1-1,61,Total Referencial:,"45.000,00",Total Recepcionado:,"45.000,00",,
20-1312-00-1097726-1-1,62,Total Referencial:,"45,207.00",Total Recepcionado:,"45,207.00",,
20-1749-00-1083520-1-1,63,Total Referencial:,"56,700.00",Total Recepcionado:,"56,700.00",,
20-0902-40-1099475-1-1,64,Total Referencial:,"45.000,00",Total Recepcionado:,"45.000,00",,
21-0138-00-1126206-1-1,65,Total Referencial:,"49.500,00",Total Recepcionado:,"49.500,00",,
21-0142-00-1151480-1-1,66,Total Referencial:,"50,000.00",Total Recepcionado:,"32,000.00",,
20-1519-00-1051948-0-E,67,Total Adjudicado:,"22.500,00",Total Recepcionado:,"22.500,00",,
20-1731-00-1098806-1-1,68,Total Referencial:,"47.100,00",Total Recepcionado:,"33.000,00",,
20-1279-00-1044013-0-E,69,Total Adjudicado:,"39.850,00",Total Recepcionado:,"39.850,00",,
20-0015-01-1055801-2-1,70,Total Referencial:,"105,000.00",Total Adjudicado:,"104,300.00",Total Recepcionado:,"104,300.00"
20-0781-00-1082240-1-1,71,Total Referencial:,"58.000,00",Total Adjudicado:,"49.800,00",Total Recepcionado:,"49.800,00"
20-0906-03-1038824-0-E,72,Total Adjudicado:,"44,760.00",Total Recepcionado:,"44,760.00",,
20-1604-00-1044713-0-E,73,Total Adjudicado:,"285.004,00",Total Recepcionado:,"285.004,00",,
21-0423-00-1148355-1-1,74,Total Referencial:,"40,500.00",Total Recepcionado:,"34,500.00",,
21-1501-00-1165931-1-1,75,Total Referencial:,"27,570.00",Total Recepcionado:,"20,179.00",,
21-1302-00-1118238-1-1,76,Total Referencial:,"45.132,50",Total Recepcionado:,"44.585,00",,
21-0417-06-1121527-1-1,77,Total Referencial:,"49.500,00",Total Recepcionado:,"46.090,00",,
20-1315-00-1049247-0-E,78,Total Adjudicado:,"45.000,00",,,,
20-1303-00-1047204-0-E,79,Total Adjudicado:,"49.980,00",Total Recepcionado:,"49.980,00",,
20-1604-00-1043078-0-E,80,Total Adjudicado:,"67.320,00",,,,
21-1205-00-1172256-1-1,81,Total Referencial:,"49.575,00",Total Recepcionado:,"18.375,00",,
20-1521-00-1049272-0-E,82,Total Adjudicado:,"45.000,00",Total Recepcionado:,"45.000,00",,
20-0411-00-1076866-1-1,83,Total Referencial:,"9.500.000,00",Total Recepcionado:,"9.500.000,00",,
20-1604-00-1039720-0-E,84,Total Adjudicado:,"400.000,00",,,,
20-0903-00-1038476-0-E,85,Total Adjudicado:,"30.000,00",Total Recepcionado:,"30.000,00",,
20-0138-00-1077481-1-2,86,Total Referencial:,"156.000,00",Total Adjudicado:,"74.880,00",Total Recepcionado:,"74.880,00"
20-1280-00-1047959-0-E,87,Total Adjudicado:,"42.700,00",Total Recepcionado:,"42.700,00",,
20-1306-00-1056240-1-1,88,Total Referencial:,"275,000.00",Total Adjudicado:,"271,500.00",Total Recepcionado:,"271,500.00"
21-1201-00-1176460-1-1,89,Total Referencial:,"45,000.00",Total Recepcionado:,"45,000.00",,
20-1342-00-1088324-1-1,90,Total Referencial:,"40.900,00",Total Recepcionado:,"40.900,00",,
21-0417-06-1143362-1-1,91,Total Referencial:,"25,200.00",Total Recepcionado:,"23,940.00",,
20-1215-00-1050525-0-E,92,Total Adjudicado:,"204.000,00",Total Recepcionado:,"204.000,00",,
21-0417-06-1158825-1-1,93,Total Referencial:,"175.000,00",Total Adjudicado:,"140.000,00",Total Recepcionado:,"140.000,00"
20-0411-00-1042017-0-E,94,Total Adjudicado:,"206.250,00",Total Recepcionado:,"206.250,00",,
20-1507-00-1062643-1-1,95,Total Referencial:,"125.108,00",Total Adjudicado:,"53.295,00",Total Recepcionado:,"53.295,00"
21-0905-00-1162497-1-1,96,Total Referencial:,"18,000,000.00",Total Adjudicado:,"17,987,543.19",,
21-0903-00-1163718-1-1,97,Total Referencial:,"169.282,00",Total Adjudicado:,"169.282,00",Total Recepcionado:,"169.282,00"
20-1266-00-1092098-1-1,98,Total Referencial:,"49,500.00",Total Recepcionado:,"28,000.00",,
20-0417-09-1076608-1-1,99,Total Referencial:,"234.708,00",Total Adjudicado:,"234.708,00",Total Recepcionado:,"234.708,00"
20-1807-00-1094652-1-1,100,Total Referencial:,"20.800,00",Total Recepcionado:,"7.992,00",,
20-1206-00-1094070-1-1,101,Total Referencial:,"47.000,00",Total Recepcionado:,"47.000,00",,
21-0417-09-1127359-1-1,102,Total Referencial:,"294,098.00",Total Adjudicado:,"288,096.00",Total Recepcionado:,"288,096.00"
20-1507-00-1050563-0-E,103,Total Adjudicado:,"42.050,00",Total Recepcionado:,"42.050,00",,
21-1101-00-1141465-1-1,104,Total Referencial:,"50.000,00",Total Recepcionado:,"50.000,00",,
20-0902-39-1097233-1-1,105,Total Referencial:,"36.000,00",Total Recepcionado:,"36.000,00",,
21-2337-00-1140345-1-1,106,Total Referencial:,,,,,
21-2337-00-1140345-1-1,106,Total Recepcionado:,,,,,
20-1734-00-1094174-2-1,107,Total Referencial:,"200.000,00",Total Adjudicado:,"196.800,00",Total Recepcionado:,"196.800,00"
21-1347-00-1107313-1-1,108,Total Referencial:,"36.377,00",Total Recepcionado:,"34.782,00",,
20-0902-43-1041459-0-E,109,Total Adjudicado:,"34.305,00",Total Recepcionado:,"34.305,00",,
20-0417-01-1088584-1-1,110,Total Referencial:,"98,000.00",Total Recepcionado:,"41,475.00",,
20-1810-00-1046870-0-E,111,Total Adjudicado:,"33.000,00",Total Recepcionado:,"33.000,00",,
21-1328-00-1119859-1-1,112,Total Referencial:,"31.800,00",Total Recepcionado:,"23.316,00",,
20-1905-00-1038031-0-E,113,Total Adjudicado:,"88.590,00",,,,
21-1601-00-1149513-1-1,114,Total Referencial:,"50,000.00",Total Recepcionado:,"26,250.00",,
20-1734-00-1048310-0-E,115,Total Adjudicado:,"103.500,00",Total Recepcionado:,"103.500,00",,
21-1519-00-1109664-1-1,116,Total Referencial:,"49.500,00",Total Recepcionado:,"34.650,00",,
20-1501-00-1052139-0-E,117,Total Adjudicado:,"49.985,00",,,,
21-1201-14-1131961-1-1,118,Total Referencial:,,,,,
21-1201-14-1131961-1-1,118,Total Recepcionado:,,,,,
20-0417-01-1052230-0-E,119,Total Adjudicado:,"40.000,00",Total Recepcionado:,"40.000,00",,
20-1301-00-1051544-0-E,120,Total Adjudicado:,"90.840,00",,,,
20-0903-00-1039247-0-E,121,Total Adjudicado:,"174.864,00",Total Recepcionado:,"174.864,00",,
21-0418-10-1185617-2-1,122,Total Referencial:,"59.700,00",Total Adjudicado:,"57.914,00",,
20-1204-00-1046102-0-E,123,Total Adjudicado:,"49.443,00",Total Recepcionado:,"49.443,00",,
21-0907-00-1118456-1-1,124,Total Referencial:,"205.000,00",Total Adjudicado:,"188.600,00",Total Recepcionado:,"188.600,00"
20-1734-00-1094190-2-1,125,Total Referencial:,"200,000.00",Total Adjudicado:,"196,800.00",Total Recepcionado:,"196,800.00"
20-1312-00-1048707-0-E,126,Total Adjudicado:,"60.060,00",Total Recepcionado:,"60.060,00",,
20-0411-00-1090125-1-1,127,Total Referencial:,"27.000,00",Total Recepcionado:,"22.500,00",,
21-0145-00-1130565-1-1,128,Total Referencial:,"225,750.00",Total Adjudicado:,"103,200.00",Total Recepcionado:,"103,200.00"
20-0139-00-1057480-1-1,129,Total Referencial:,"350,000.00",Total Adjudicado:,"289,000.00",Total Recepcionado:,"289,000.00"
20-1201-18-1040587-0-E,130,Total Adjudicado:,"171.000,00",Total Recepcionado:,"171.000,00",,
21-0417-09-1174091-2-1,131,Total Referencial:,"360,000.00",Total Adjudicado:,"356,000.00",,
20-1604-00-1039050-0-E,132,Total Adjudicado:,"199.970,00",Total Recepcionado:,"199.970,00",,
20-1201-00-1045149-0-E,133,Total Adjudicado:,"24.000,00",Total Recepcionado:,"24.000,00",,
21-0513-00-1146338-1-1,134,Total Referencial:,"188.520,00",Total Adjudicado:,"129.690,00",Total Recepcionado:,"129.690,00"
21-1335-00-1112650-1-1,135,Total Referencial:,"49,500.00",Total Recepcionado:,"37,125.00",,
21-0901-02-1146681-1-2,136,Total Referencial:,"102.900,00",Total Recepcionado:,"92.400,00",,
20-0902-00-1041495-0-E,137,Total Adjudicado:,"112.000,00",,,,
20-0046-22-1044373-0-E,138,Total Adjudicado:,"57.400,00",Total Recepcionado:,"57.400,00",,
20-1220-00-1039407-0-E,139,Total Adjudicado:,"398.112,00",Total Recepcionado:,"398.112,00",,
20-0435-00-1043192-0-E,140,Total Adjudicado:,"50,000.00",Total Recepcionado:,"50,000.00",,
20-0902-43-1038906-0-E,141,Total Adjudicado:,"44.812,80",Total Recepcionado:,"44.812,80",,
20-1345-00-1065630-2-1,142,Total Referencial:,"1.200.120,00",Total Adjudicado:,"1.196.424,00",Total Recepcionado:,"1.196.424,00"
21-0903-00-1183714-1-1,143,Total Referencial:,"23,410.00",Total Recepcionado:,"23,410.00",,
20-1428-00-1096738-1-1,144,Total Referencial:,"110.000,00",Total Recepcionado:,"109.500,00",,
20-0046-00-1089667-1-1,145,Total Referencial:,"48.100,00",Total Recepcionado:,"48.100,00",,
20-1320-00-1046198-0-E,146,Total Adjudicado:,"71.500,00",Total Recepcionado:,"71.500,00",,
21-0417-05-1168635-1-1,147,Total Referencial:,"70,000.00",Total Adjudicado:,"41,250.00",Total Recepcionado:,"41,250.00"
21-0906-03-1139925-1-1,148,Total Referencial:,"50.000,00",Total Recepcionado:,"50.000,00",,
21-0417-09-1140931-1-1,149,Total Referencial:,"66,400.00",Total Adjudicado:,"66,400.00",Total Recepcionado:,"66,400.00"
21-0046-22-1151621-1-1,150,Total Referencial:,"47.866,70",Total Recepcionado:,"47.866,70",,
20-0909-00-1038632-0-E,151,Total Adjudicado:,"600.000,00",Total Recepcionado:,"600.000,00",,
20-0660-13-1040967-0-E,152,Total Adjudicado:,"21.987,00",Total Recepcionado:,"21.987,00",,
20-1605-00-1041318-0-E,153,Total Adjudicado:,"49.200,00",Total Recepcionado:,"49.200,00",,
21-1302-00-1109815-1-1,154,Total Referencial:,"49,999.10",Total Recepcionado:,"49,049.75",,
20-1301-00-1100618-1-1,155,Total Referencial:,"101.581,05",Total Recepcionado:,"101.581,05",,
20-1301-00-1042698-0-E,156,Total Adjudicado:,"40.000,00",Total Recepcionado:,"40.000,00",,
20-1201-00-1090316-1-1,157,Total Referencial:,"49,950.00",Total Recepcionado:,"49,950.00",,
21-0046-37-1122906-1-2,158,Total Referencial:,"583.981,00",Total Adjudicado:,"572.200,00",Total Recepcionado:,"572.200,00"
20-0905-00-1050320-0-E,159,Total Adjudicado:,"275.184,00",,,,
20-1301-00-1044853-0-E,160,Total Adjudicado:,"46.012,00",,,,
21-0417-06-1120950-1-1,161,Total Referencial:,"48,779.00",Total Recepcionado:,"48,779.00",,
20-1434-00-1100781-1-1,162,Total Referencial:,"40.500,00",Total Recepcionado:,"40.500,00",,
21-0025-00-1163790-1-1,163,Total Referencial:,"40,000.00",Total Recepcionado:,"40,000.00",,
20-1410-00-1070837-2-1,164,Total Referencial:,"350,000.00",Total Adjudicado:,"347,700.00",Total Recepcionado:,"347,700.00"
20-1734-00-1046540-0-E,165,Total Adjudicado:,"23.200,00",Total Recepcionado:,"23.200,00",,
21-1201-00-1174053-1-1,166,Total Referencial:,"30.788,00",Total Recepcionado:,"18.440,00",,
20-0417-05-1040250-0-E,167,Total Adjudicado:,"24,640.00",Total Recepcionado:,"24,640.00",,
20-0909-00-1039136-0-E,168,Total Adjudicado:,"76.240,00",Total Recepcionado:,"76.240,00",,
21-1325-00-1184876-1-1,169,Total Referencial:,"146.142,00",Total Adjudicado:,"143.484,00",Total Recepcionado:,"143.484,00"
21-1301-00-1137297-1-1,170,Total Referencial:,"49.986,00",Total Recepcionado:,"26.381,50",,
20-1301-00-1095178-1-1,171,Total Referencial:,"71.520,00",Total Recepcionado:,"38.024,80",,
20-1301-00-1090654-1-1,172,Total Referencial:,"1,260,000.00",Total Recepcionado:,"780,000.00",,
21-0902-43-1163069-2-1,173,Total Referencial:,"142,560.00",Total Adjudicado:,"142,553.98",Total Recepcionado:,"142,553.98"
20-0903-00-1090118-1-1,174,Total Referencial:,"48.000,00",Total Recepcionado:,"48.000,00",,
21-0046-26-1168121-1-1,175,Total Referencial:,"50,000.00",Total Recepcionado:,"44,800.00",,
20-0418-07-1042253-0-E,176,Total Adjudicado:,"220.740,00",Total Recepcionado:,"220.740,00",,
20-1401-00-1048070-0-E,177,Total Adjudicado:,"47.850,00",Total Recepcionado:,"47.850,00",,
21-0145-00-1139544-1-1,178,Total Referencial:,"167.700,00",Total Adjudicado:,"164.991,00",Total Recepcionado:,"164.991,00"
21-1201-00-1174021-1-1,179,Total Referencial:,"49.350,00",Total Recepcionado:,"35.700,00",,
21-1101-00-1176644-1-1,180,Total Referencial:,"49.999,59",Total Recepcionado:,"39.999,00",,
21-1412-00-1183521-1-1,181,Total Referencial:,"56.000,00",Total Adjudicado:,"56.000,00",Total Recepcionado:,"56.000,00"
20-1122-00-1094112-1-1,182,Total Referencial:,"26,950.00",Total Recepcionado:,"26,950.00",,
20-1610-00-1038456-0-E,183,Total Adjudicado:,"45.500,00",Total Recepcionado:,"45.500,00",,
20-1604-00-1042682-0-E,184,Total Adjudicado:,"684.723,00",,,,
20-1711-00-1048569-0-E,185,Total Adjudicado:,"47.550,00",Total Recepcionado:,"47.550,00",,
20-0417-09-1047028-0-E,186,Total Adjudicado:,"50.000,00",Total Recepcionado:,"50.000,00",,
20-0902-42-1088572-1-1,187,Total Referencial:,"43.000,00",Total Recepcionado:,"27.000,00",,
20-1206-00-1091679-1-1,188,Total Referencial:,"56,500.00",Total Recepcionado:,"56,500.00",,
20-0139-00-1083382-1-1,189,Total Referencial:,"42,000.00",Total Recepcionado:,"42,000.00",,
20-1201-00-1088269-1-1,190,Total Referencial:,"49,954.80",Total Recepcionado:,"49,954.80",,
20-1734-00-1094208-1-1,191,Total Referencial:,"200,000.00",Total Adjudicado:,"199,872.00",Total Recepcionado:,"199,872.00"
20-0417-06-1075234-1-1,192,Total Referencial:,"102.680,00",Total Adjudicado:,"102.680,00",Total Recepcionado:,"102.680,00"
20-1601-00-1098779-1-1,193,Total Referencial:,"29.000,00",Total Recepcionado:,"28.500,00",,
20-1312-00-1049624-0-E,194,Total Adjudicado:,"41.520,00",Total Recepcionado:,"41.520,00",,
20-1201-00-1048385-0-E,195,Total Adjudicado:,"49.720,00",,,,
20-1519-00-1044092-0-E,196,Total Adjudicado:,"22.000,00",Total Recepcionado:,"22.000,00",,
20-0417-07-1083841-1-1,197,Total Referencial:,"30,000.00",Total Recepcionado:,"30,000.00",,
20-1260-00-1043114-0-E,198,Total Adjudicado:,"49.950,00",Total Recepcionado:,"49.950,00",,
20-0906-00-1041232-0-E,199,Total Adjudicado:,"225.000,00",Total Recepcionado:,"225.000,00",,
20-1324-00-1043951-0-E,200,Total Adjudicado:,"27.090,00",Total Recepcionado:,"27.090,00",,
21-0906-03-1154766-1-1,201,Total Referencial:,"50.000,00",Total Recepcionado:,"50.000,00",,
20-1406-00-1074661-1-1,202,Total Referencial:,"36,750.00",Total Recepcionado:,"30,160.00",,
21-1702-00-1161771-1-1,203,Total Referencial:,"50,000.00",Total Recepcionado:,"50,000.00",,
21-0903-00-1182439-1-1,204,Total Referencial:,"49,993.86",Total Recepcionado:,"49,993.86",,
20-1324-00-1083134-1-1,205,Total Referencial:,"63.500,00",Total Recepcionado:,"50.050,00",,
20-0417-02-1041801-0-E,206,Total Adjudicado:,"30.680,00",Total Recepcionado:,"30.680,00",,
21-1325-00-1179450-1-1,207,Total Referencial:,"177.037,20",Total Adjudicado:,"105.353,50",Total Recepcionado:,"105.353,50"
20-1329-00-1077246-1-1,208,Total Referencial:,"457.388,89",Total Recepcionado:,"457.388,89",,
20-1303-00-1040438-0-E,209,Total Adjudicado:,"41.675,00",Total Recepcionado:,"41.675,00",,
20-1301-00-1044744-0-E,210,Total Adjudicado:,"27.360,00",,,,
20-1529-00-1089227-1-1,211,Total Referencial:,"311.095,00",Total Adjudicado:,"281.721,00",Total Recepcionado:,"281.721,00"
20-0902-01-1047694-0-E,212,Total Adjudicado:,"49.980,00",Total Recepcionado:,"49.980,00",,
21-1228-00-1115799-1-1,213,Total Referencial:,"48.939,09",Total Recepcionado:,"48.939,09",,
20-0901-00-1083913-1-1,214,Total Referencial:,"999,810.00",Total Adjudicado:,"966,006.90",Total Recepcionado:,"966,006.90"
21-0417-04-1149828-1-1,215,Total Referencial:,"49,883.32",Total Recepcionado:,"49,883.32",,
20-1334-00-1057982-2-1,216,Total Referencial:,"73.600,00",Total Adjudicado:,"14.400,00",Total Recepcionado:,"14.400,00"
20-1206-00-1040229-0-E,217,Total Adjudicado:,"44.000,00",Total Recepcionado:,"44.000,00",,
21-0423-00-1151970-1-1,218,Total Referencial:,"30,398.00",Total Recepcionado:,"30,348.40",,
21-1601-00-1112057-1-1,219,Total Referencial:,"49,500.00",Total Recepcionado:,"36,000.00",,
21-0417-06-1153532-2-1,220,Total Referencial:,"115,000.00",Total Adjudicado:,"97,000.00",Total Recepcionado:,"97,000.00"
20-4601-00-1043059-0-E,221,Total Adjudicado:,"49.392,00",Total Recepcionado:,"49.392,00",,
20-0417-05-1043089-0-E,222,Total Adjudicado:,"48.000,00",Total Recepcionado:,"48.000,00",,
20-1245-00-1100344-1-1,223,Total Referencial:,"44.151,73",Total Recepcionado:,"44.151,73",,
21-0907-00-1179481-1-1,224,Total Referencial:,"37.000,00",Total Recepcionado:,"37.000,00",,
20-1118-00-1086314-2-1,225,Total Referencial:,"86.755,00",Total Adjudicado:,"86.138,00",Total Recepcionado:,"86.138,00"
20-0417-09-1044786-0-E,226,Total Adjudicado:,"49.000,00",,,,
20-1206-00-1050987-0-E,227,Total Adjudicado:,"31.500,00",Total Recepcionado:,"31.500,00",,
20-0660-10-1083671-1-1,228,Total Referencial:,"44.835,00",Total Recepcionado:,"44.835,00",,
20-1606-00-1039577-0-E,229,Total Adjudicado:,"106.795,00",Total Recepcionado:,"106.795,00",,
20-0903-00-1052136-0-E,230,Total Adjudicado:,"17.800,00",Total Recepcionado:,"17.800,00",,
21-1334-00-1140888-1-1,231,Total Referencial:,"46.922,00",Total Recepcionado:,"35.250,00",,
21-0411-00-1115916-1-1,232,Total Referencial:,"997.570,00",Total Adjudicado:,"374.000,00",Total Recepcionado:,"374.000,00"
20-1279-00-1101699-1-1,233,Total Referencial:,"36.458,50",Total Recepcionado:,"36.458,50",,
20-0660-11-1051869-0-E,234,Total Adjudicado:,"22.225,50",Total Recepcionado:,"22.225,50",,
20-1262-00-1046432-0-E,235,Total Adjudicado:,"182.084,00",Total Recepcionado:,"182.084,00",,
21-0147-00-1131746-1-1,236,Total Referencial:,"356,880.19",Total Adjudicado:,"203,050.00",Total Recepcionado:,"203,050.00"
20-1328-00-1067585-1-1,237,Total Referencial:,"355.620,59",Total Adjudicado:,"324.003,87",Total Recepcionado:,"324.003,87"
20-4601-00-1038033-0-E,238,Total Adjudicado:,"50.000,00",Total Recepcionado:,"50.000,00",,
20-1734-00-1094158-1-1,239,Total Referencial:,"200,000.00",Total Adjudicado:,"199,872.00",Total Recepcionado:,"199,872.00"
20-0015-22-1050912-0-E,240,Total Adjudicado:,"30.800,00",Total Recepcionado:,"30.800,00",,
20-1316-00-1066156-1-1,241,Total Referencial:,"200.000,00",Total Adjudicado:,"198.985,15",Total Recepcionado:,"198.985,15"
20-4601-03-1050488-0-E,242,Total Adjudicado:,"36.000,00",Total Recepcionado:,"36.000,00",,
20-1905-00-1052444-0-E,243,Total Adjudicado:,"120.000,00",,,,
20-1316-00-1083596-1-1,244,Total Referencial:,"11.914,00",Total Adjudicado:,Total Recepcionado:,,
20-1316-00-1083596-1-1,244,Total Referencial:,"5.000,00",,,,
20-1316-00-1083596-1-1,244,Total Referencial:,"47.600,00",Total Adjudicado:,"40.936,00",Total Recepcionado:,"40.936,00"
20-1218-00-1092927-1-1,245,Total Referencial:,"29.643,00",Total Recepcionado:,"29.643,00",,
20-1430-00-1097794-1-1,246,Total Referencial:,"22,256.00",Total Recepcionado:,"21,980.00",,
