cuce,list_n,numero,codigo_unspsc,objeto_de_gasto,descripcion_del_bien_o_servicio,unidad_de_medida,cantidad,precio_referencial_unitario,precio_referencial_total,nombre_o_razon_social_del_proponente_adjudicado,precio_unitario_adjudicado,total_adjudicado,cantidad_recepcionada,precio_unitario_real,monto_real_ejecutado,estado,cronograma
20-0417-05-1071607-1-1,6,1,4110000,43400,EQUIPO CONGELADOR DE PLASMA,EQUIPO,"1,00","77.993,00","77.993,00",EMPRESA  SUMINISTRO DEL LABORATORIO CIENTIFICO S.R.L.,"77.993,00","77.993,00","1,00","77.993,00","77.993,00",Contratado,Cronograma 0
20-0417-03-1071819-1-1,7,1,4110000,43400,DESCONGELADOR DE PLASMA,EQUIPO,"1,00","59.837,00","59.837,00",MALTA&ASOCIADOS  S.R.L.,"58.730,00","58.730,00","1,00","58.730,00","58.730,00",Contratado,Cronograma 0
21-0417-06-1143483-1-2,8,1,4110301,43400,Congeladores para almacenar plasma - CONGELADOR DE PLASMA,EQUIPO,1.00,"134,490.00","134,490.00",IMPORTACIONES Y ASESORAMIENTO TECNOLOGICO SA - IATEC S.A.,"134,490.00","134,490.00",1.0,"134,490.00","134,490.00",Contratado,Cronograma 0
20-1810-00-1049162-0-E,9,1,4218000,34200.0,"PRUEBAS RAPIDAS PARA COVID-19 (CUALITATIVA Y DIFERENCIAL DE ANTICUERPOS EN SANGRE, SUERO O PLASMA HUMANO)",PIEZAS,"200,00",,,KNEZ DIAMOND ROLANDO,"170,00","34.000,00",,,,Contratado,Cronograma
20-0903-13-1048855-0-E,10,1,4222000,34200,SET DE AFERESIS PARA PLASMA HIPERINMUNE,SET,"16,00",,,PEREZ ZAMBRANA MARIA NANCY,"3.050,00","48.800,00","16,00","3.050,00","48.800,00",Contratado,Cronograma
21-0417-03-1149738-1-1,11,1,4228152,34200,Concentrado o casete o cartucho de esterilizante de esterilización - CARTUCHO ESTERILIZACION PARA PLASMA,PIEZA,1.0,"49,875.00","49,875.00",,,,1.0,"49,874.90","49,874.90",Contratado,Cronograma 0
20-0903-00-1079578-1-1,12,1,4214000,39800,INYECTION VALVE E034- 0050-00,PIEZA,4.0,"5,368.00","21,472.00",,,,4.0,"5,368.00","21,472.00",Contratado,Cronograma 0
20-0903-00-1079578-1-1,12,2,4214000,39800,PM 2 KIT S130 OPCION 2(WOOS UNG MOTOR,KIT,1.0,"10,618.00","10,618.00",,,,1.0,"10,618.00","10,618.00",Contratado,Cronograma 0
20-0903-00-1079578-1-1,12,3,4214000,39800,PM 1 KIT S130 OPCION 2 (WOOSUNG MOTOR),KIT,2.0,"8,497.00","16,994.00",,,,2.0,"8,497.00","16,994.00",Contratado,Cronograma 0
21-0417-06-1143432-1-2,13,1,4110371,43400,Baños para descongelar plasma de bancos de sangre - DESCONGELADOR EN SECO DE PLASMA,EQUIPO,1.00,"114,990.00","114,990.00",IMPORTACIONES Y ASESORAMIENTO TECNOLOGICO SA - IATEC S.A.,"114,990.00","114,990.00",1.0,"114,990.00","114,990.00",Contratado,Cronograma 0
20-0902-44-1046092-1-1,14,1,1235000,34200,ENZIMOINMUNOANALISIS ELISA X 480 DETERMINACIONES PARA DETECCION DE ANTIGENO DE SUPERFICIE DEL VIRUS DE LA HEPATITIS ?B? (HBsAg) EN SUERO O PLASMA HUMANO,KITS,"15,00","4.000,00","60.000,00",ANALISIS CLINICO TITICACA S.R.L.,"4.000,00","60.000,00",,,,Contratado,Cronograma 0
21-0138-00-1154921-1-1,15,1,4111222,39400,Termómetros de refrigerador o congelador de laboratorio - TERMOMETRO DIGITAL,PIEZA,"10,00","201,10","2.011,00",,,,"10,00","199,44","1.994,40",Contratado,Cronograma 0
21-0138-00-1154921-1-1,15,2,4113162,39400,Set de transferencia (sangre / plasma) - SET PARA EQUIPO DE AFERESIS,KIT,"7,00","3.000,00","21.000,00",,,,"7,00","3.000,00","21.000,00",Contratado,Cronograma 0
20-0047-15-1042512-0-E,16,1,4112000,34200,KIT DE ELISA PARA MG,KIT,"2,00",,,NUTREX S.R.L.,"4.919,00","9.838,00","2,00","4.919,00","9.838,00",Contratado,Cronograma
20-0047-15-1042512-0-E,16,2,4112000,34200,KIT DE ELISA PARA MS,KIT,"2,00",,,NUTREX S.R.L.,"5.510,00","11.020,00","2,00","5.510,00","11.020,00",Contratado,Cronograma
20-0903-13-1049747-1-1,17,1,4222000,34200,SET DE PLASMAFERESIS,SET,"39,00","3.050,00","118.950,00",PEREZ ZAMBRANA MARIA NANCY,"3.050,00","118.950,00","39,00","3.050,00","118.950,00",Contratado,Cronograma 0
20-0903-00-1080828-1-1,18,1,4228000,34200,CARTUCHO DE PEROXIDO P/PLASMA,PIEZA,320.0,156.0,"49,920.00",,,,320.0,156.0,"49,920.00",Contratado,Cronograma 0
20-0902-41-1042152-0-E,19,1,5117000,34200,AMINOACIDO - AMINOPLASMAL 500 ML (10%),FRASCO,"280,00",,,DROGUERIA INTI S.A.,"144,00","40.320,00","280,00","144,00","40.320,00",Contratado,Cronograma
20-0902-41-1042152-0-E,19,2,5117000,34200,FUROSEMIDA 10MG/ML,INYECTA BLE,"1.500,00",,,LABORATORIO HAHNEMANN S.R.L.,"1,50","2.250,00","1.500,00","1,50","2.250,00",Contratado,Cronograma
20-0417-05-1051099-1-1,20,1,4214000,34200,"KIT PLAQUETOFERESIS, PLASMA + ACDA",KIT,"30,00","3.000,00","90.000,00",MEDLAB BOLIVIA LTDA.,"3.000,00","90.000,00",,,,Adjudicado,Cronograma 0
20-0417-05-1051099-1-1,20,2,4214000,34200,KIT SPECTRA OPTIA IDL + ACDA PARA LA OBTENCION DE PLASMA HIPERINMUNE VIDA LARGA (VIABILIDAD DE UN AÑO),KIT,"50,00","3.000,00","150.000,00",MEDLAB BOLIVIA LTDA.,"3.000,00","150.000,00",,,,Adjudicado,Cronograma 0
21-0417-03-1158775-1-1,21,1,4110371,43400,Baños para descongelar plasma de bancos de sangre - DESCONGELADOR DE PLASMA PARA 8 BOLSAS,EQUIPO,"1,00","94.000,00","94.000,00",BIO QUEST SYSTEMS SRL.,"94.000,00","94.000,00","1,00","94.000,00","94.000,00",Contratado,Cronograma 0
20-0902-44-1048232-1-1,22,1,4222000,39400,"SETS DE AFERESIS PARA COLECTA DE CELULAS MONONUCLEARES Y PLASMA, MAS SOLUCIONES DE ANTICOAGULANTE ACD- A",SETS,"40,00","3.000,00","120.000,00",VILLA FLORES PATRICIA,"3.000,00","120.000,00",,,,Contratado,Cronograma 0
20-0903-13-1042824-1-1,23,1,4222000,34200,SET DE LEUCOAFERESIS,SET,"10,00","3.050,00","30.500,00",PEREZ ZAMBRANA MARIA NANCY,"3.050,00","30.500,00","10,00","3.050,00","30.500,00",Contratado,Cronograma 0
20-0903-13-1042824-1-1,23,2,4222000,34200,SET DE PLASMAFERESIS,SET,"10,00","3.050,00","30.500,00",PEREZ ZAMBRANA MARIA NANCY,"3.050,00","30.500,00","10,00","3.050,00","30.500,00",Contratado,Cronograma 0
20-0138-00-1085742-1-1,24,1,4110000,43400,GRUPO ELECTRÓGENO CON CABINA DE INSONIRIZACIÓN,EQUIPO,1.00,"285,670.00","285,670.00",,,,,,,No se presentaron proponentes,Cronograma 0
20-0138-00-1085742-1-1,24,2,4110000,43400,EXTRACTOR DE PLASMA AUTOMÁTICO,PIEZA,2.00,"27,235.00","54,470.00",,,,,,,No se presentaron proponentes,Cronograma 0
20-0138-00-1085742-1-1,24,3,4110000,43400,ULTRACONGELADOR,PIEZA,1.00,"210,000.00","210,000.00",,,,,,,Las propuestas no cumplieron aspectos tecnicos/admini strativos,Cronograma 0
20-0138-00-1085742-1-1,24,4,4110000,43400,AGITADOR E INCUBADOR DE PLAQUETAS,PIEZA,1.00,"84,680.00","84,680.00",,,,,,,No se presentaron proponentes,Cronograma 0
20-0138-00-1085742-1-1,24,5,4110000,43340,MICROCENTRÍFUGA,EQUIPO,1.00,"21,000.00","21,000.00",S&S IMPORTACIONES S.R.L.,"20,800.00","20,800.00",1.0,"20,800.00","20,800.00",Contratado,Cronograma 2
20-0138-00-1085742-1-1,24,6,4110000,43400,INCUBADOR DE MICROPLACAS,PIEZA,1.00,"15,000.00","15,000.00",S&S IMPORTACIONES S.R.L.,"14,830.00","14,830.00",1.0,"14,830.00","14,830.00",Contratado,Cronograma 2
20-0138-00-1085742-1-1,24,7,4110000,43400,CENTRIFUGA PARA LABORATORIO,EQUIPO,1.00,"38,500.00","38,500.00",S&S IMPORTACIONES S.R.L.,"38,000.00","38,000.00",1.0,"38,000.00","38,000.00",Contratado,Cronograma 2
20-0138-00-1085742-1-1,24,8,4110000,43400,CONTADOR HEMATOLÓGICO DE LABORATORIO,EQUIPO,1.00,"70,000.00","70,000.00",LABORATORIOS LA PAZ LTDA.,"63,000.00","63,000.00",1.0,"63,000.00","63,000.00",Contratado,Cronograma 2
20-0138-00-1085742-1-1,24,9,4110000,43400,EQUIPO DE LABORATORIO TIPO CENTRIFUGA,EQUIPO,1.00,"330,000.00","330,000.00",LABORATORIOS LA PAZ LTDA.,"330,000.00","330,000.00",1.0,"330,000.00","330,000.00",Contratado,Cronograma 2
20-0138-00-1085742-1-1,24,10,4110000,43400,EQUIPO DE LABORATORIO TIPO SELLADOR ELECTRICO PARA,EQUIPO,1.00,"42,000.00","42,000.00",MEDLAB BOLIVIA LTDA.,"42,000.00","42,000.00",1.0,"42,000.00","42,000.00",Contratado,Cronograma 2
20-0138-00-1085742-1-1,24,11,4110000,39400,SET PARA EQUIPO DE AFERESIS,UNIDAD,28.00,"3,000.00","84,000.00",CORTEZ ALVAREZ LETICIA,"3,000.00","84,000.00",28.0,"3,000.00","84,000.00",Contratado,Cronograma 2
20-0138-00-1085742-1-1,24,12,4110000,43400,BASCULA AGITADORA,PIEZA,3.00,"75,000.00","225,000.00",MEDLAB BOLIVIA LTDA.,"75,000.00","225,000.00",3.0,"75,000.00","225,000.00",Contratado,Cronograma 2
21-0902-39-1140596-3-1,25,1,5119160,34200,Solución ringer lactato - Solucion Ringer Normal,Sol. Par. de Gran Vo,"1,500.00",10.51,"15,765.00",LABORATORIOS VITA S.A.,10.51,"15,765.00","1,500.00",10.51,"15,765.00",Contratado,Cronograma 0
21-0902-39-1140596-3-1,25,2,5119160,34200,Agua estéril para inyección - Agua para Inyección,Inyectable,"12,000.0",1.01,"12,120.00",DROGUERIA INTI S.A.,1.0,"12,000.00","12,000.00",1.0,"12,000.00",Contratado,Cronograma 0
21-0902-39-1140596-3-1,25,3,5117323,34200,Sulfato de magnesio / sulfato de potasio / sulfato de sodio - Sulfato de Magnesio,Inyectable,"4,000.00",3.72,"14,880.00",LABORATORIOS VITA S.A.,3.72,"14,880.00","4,000.00",3.72,"14,880.00",Contratado,Cronograma 0
21-0902-39-1140596-3-1,25,4,5119180,34200,Cloruro de potasio - Cloruro de Potasio,Inyectable,"2,800.00",3.55,"9,940.00",DROGUERIA INTI S.A.,3.55,"9,940.00","2,800.00",3.55,"9,940.00",Contratado,Cronograma 0
21-0902-39-1140596-3-1,25,5,5124150,34200,Solución salina equilibrada / bicarbonato / dextrosa / glutatión - Solución de Glucosa,Sol. Par. de Gran Vo,"1,400.00",8.08,"11,312.00",LABORATORIOS VITA S.A.,8.08,"11,312.00","1,400.00",8.08,"11,312.00",Contratado,Cronograma 0
21-0902-39-1140596-1-1,26,1,5119160,34200,Solución ringer lactato - Solución Ringer Lactato,Sol. par. de g. vol.,"4.000,00","10,59","42.360,00",DROGUERIA INTI S.A.,"10,50","42.000,00","4.000,00","10,50","42.000,00",Contratado,Cronograma 0
21-0902-39-1140596-1-1,26,2,5119160,34200,Electrolitos de cloruro de sodio - Solución Fisiológica,Sol. par. de g. vol.,"500,00","9,65","4.825,00",DROGUERIA INTI S.A.,"9,61","4.805,00","500,00","9,61","4.805,00",Contratado,Cronograma 0
21-0902-39-1140596-1-1,26,3,5112270,34200,Cloruro de potasio / bicarbonato de sodio - Cloruro de Potasio,Inyectable,"2.800,00","3,55","9.940,00",,,,,,,No se presentaron proponentes,Cronograma 0
21-0902-39-1140596-1-1,26,4,5117260,34200,Fructosa / glucosa / ácido fosfórico - Solución de Glucosa,Sol. par. de g. vol.,"1.400,00","8,08","11.312,00",,,,,,,No se presentaron proponentes,Cronograma 0
21-0902-39-1140596-1-1,26,5,5117323,34200,Sulfato de magnesio / sulfato de potasio / sulfato de sodio - Sulfato de Magnesio,Inyectable,"4.000,00","3,72","14.880,00",,,,,,,No se presentaron proponentes,Cronograma 0
21-0902-39-1140596-1-1,26,6,5119160,34200,Agua estéril para inyección - Agua para Inyección,Inyectable,"12.000,0","1,01","12.120,00",,,,,,,No se presentaron proponentes,Cronograma 0
21-0902-39-1140596-1-1,26,7,5119160,34200,Electrolitos de cloruro de sodio - Solución fisiológica,Sol. par. de g. vol.,"1.500,00","8,05","12.075,00",DROGUERIA INTI S.A.,"8,04","12.060,00","1.500,00","8,04","12.060,00",Contratado,Cronograma 0
21-0902-39-1140596-1-1,26,8,5119160,34200,Electrolitos de cloruro de sodio - Solución Ringer Normal,Sol. par. de g. vol.,"1.500,00","10,51","15.765,00",,,,,,,No se presentaron proponentes,Cronograma 0
21-0902-39-1154739-1-1,27,1,5117260,34200,Fructosa / glucosa / ácido fosfórico - Solución de glucosa,Sol. Par. De G. Vol,"1,000.00",8.75,"8,750.00",DROGUERIA INTI S.A.,8.74,"8,740.00","1,000.00",8.74,"8,740.00",Contratado,Cronograma 0
21-0902-39-1154739-1-1,27,2,4110421,34200,Agua destilada o deionizada - Agua para inyección,Inyectable,"12,000.0",1.05,"12,600.00",DROGUERIA INTI S.A.,1.0,"12,000.00","12,000.00",1.0,"12,000.00",Contratado,Cronograma 0
21-0902-39-1154739-1-1,27,3,5119160,34200,Electrolitos de cloruro de sodio - Solución ringer normal,Sol. Par. De G. Vol,"1,500.00",10.7,"16,050.00",GRUPO ALCOS S A,10.69,"16,035.00","1,500.00",10.69,"16,035.00",Contratado,Cronograma 0
21-0902-39-1154739-1-1,27,4,5119191,34200,Gluconato de calcio - Gluconato Cálcico (Calcio Gluconato),Inyectable,"2,000.00",6.78,"13,560.00",,,,,,,No se presentaron proponentes,Cronograma 0
21-0902-39-1154739-1-1,27,5,4116150,34200,Soluciones salinas equilibradas o formulaciones - Solución Fisiologica,Sol. Par. De G. Vol,"3,000.00",10.71,"32,130.00",GRUPO ALCOS S A,10.7,"32,100.00","3,000.00",10.7,"32,100.00",Contratado,Cronograma 0
21-0902-39-1154739-1-1,27,6,5117323,34200,Sulfato de magnesio / sulfato de potasio / sulfato de sodio - Sulfato de magnesio,Inyectable,"3,000.00",5.2,"15,600.00",,,,,,,No se presentaron proponentes,Cronograma 0
21-0902-39-1154739-1-1,27,7,5119150,34200,Manitol - Solución de Manitol,Sol. Par. De G. Vol,80.00,23.9,"1,912.00",DROGUERIA INTI S.A.,23.9,"1,912.00",80.00,23.9,"1,912.00",Contratado,Cronograma 0
21-0902-39-1154739-1-1,27,8,1235220,34200,Aminoácidos o sus derivados - Aminoácidos,Sol. Par. De G. Vol,100.00,164.05,"16,405.00",DROGUERIA INTI S.A.,164.0,"16,400.00",100.00,164.0,"16,400.00",Contratado,Cronograma 0
21-0902-39-1154739-1-1,27,9,5119160,34200,Solución ringer lactato - Solución ringer lactato,Sol. Par. De G. Vol,"4,000.00",10.9,"43,600.00",DROGUERIA INTI S.A.,10.8,"43,200.00","4,000.00",10.8,"43,200.00",Contratado,Cronograma 0
21-0902-39-1154739-1-1,27,10,5124185,34200,Gelatina / glicerina / goma karaya / óxido de zinc - Agentes con gelatina,Sol. Par. De G. Vol,80.00,197.38,"15,790.40",DROGUERIA INTI S.A.,197.38,"15,790.40",80.00,197.38,"15,790.40",Contratado,Cronograma 0
21-0902-39-1154739-1-1,27,11,5050180,34200,Combinación de suplemento nutricional de vitaminas y minerales - Oligoelementos para nutricion parenteral,Sol. Par. De G. Vol,300.00,49.94,"14,982.00",DROGUERIA INTI S.A.,49.94,"14,982.00",300.00,49.94,"14,982.00",Contratado,Cronograma 0
21-0418-02-1186927-1-1,28,1,1214190,34200,Nitrógeno n - Nitrógeno Gas Medicinal,metro cubico,192.00,18.0,"3,456.00",PRAXAIR BOLIVIA S.R.L.,18.0,"3,456.00",,,,Contratado,Cronograma 0
21-0418-02-1186927-1-1,28,2,1214210,34200,Gas dióxido de carbono - Gas Carbónico Medicinal,kg,600.00,18.0,"10,800.00",PRAXAIR BOLIVIA S.R.L.,18.0,"10,800.00",,,,Contratado,Cronograma 0
21-0418-02-1186927-1-1,28,3,1214190,34200,Oxígeno o - Oxigeno Gas Medicinal,metro cubico,"3,960.00",18.0,"71,280.00",PRAXAIR BOLIVIA S.R.L.,18.0,"71,280.00",,,,Contratado,Cronograma 0
21-0418-02-1186927-1-1,28,4,1214190,34200,Nitrógeno n - Nitrógeno Líquido Medicinal,kg,360.00,18.0,"6,480.00",PRAXAIR BOLIVIA S.R.L.,18.0,"6,480.00",,,,Contratado,Cronograma 0
21-0418-02-1186927-1-1,28,5,1214210,34200,Aire industrial - Aire Gas Medicinal,metro cubico,30.50,18.0,549.00,PRAXAIR BOLIVIA S.R.L.,18.0,549.00,,,,Contratado,Cronograma 0
21-0418-02-1186927-1-1,28,6,1214200,34200,Gas argón ar - Argón Gas Medicinal,metro cubico,4.00,206.0,824.00,PRAXAIR BOLIVIA S.R.L.,206.0,824.00,,,,Contratado,Cronograma 0
21-0418-02-1186927-1-1,28,7,1214190,34200,Oxígeno o - Oxigeno Liquido Medicinal,kg,"22,300.0",13.57,"302,611.00",PRAXAIR BOLIVIA S.R.L.,13.57,"302,611.00",,,,Contratado,Cronograma 0
19-0417-03-1039991-0-E,29,1,4217000,39800,131 PZA. MANOMETROS DE OXIGENO,PIEZA,"131,00",,,ARAUCO ROMERO JIMMY JUNIOR,"380,00","49.780,00","131,00","380,00","49.780,00",Contratado,Cronograma
21-0417-09-1107924-1-1,30,1,5121000,34200,OXIGENO MEDICINAL,M3,"111.100,","9,00","999.900,00",PRAXAIR BOLIVIA S.R.L.,"9,00","999.900,00","111.100,0 0","9,00","999.900,00",Contratado,Cronograma 0
20-1201-00-1050637-0-E,31,1,5121000,34200,OXIGENO MEDICINAL- CILINDRO CARGADO CON OXIGENO GAS MED. DE 6M3 (NO INCLUYE CILINDRO) (SEGUN ESPECIFICACIONES TECNICAS),TUBO,"625,00",,,3 H INDUSTRIALES S.R.L.,"80,00","50.000,00","625,00","80,00","50.000,00",Contratado,Cronograma
20-0906-03-1038824-0-E,32,1,1214000,34200,OXIGENO,GAS,746.0,,,RAMOS PARADA JASEL ROSARIO,60.0,"44,760.00",746.0,60.0,"44,760.00",Contratado,Cronograma
20-1306-00-1056240-1-1,33,1,4110000,43700,ADQUISICION DE UNA PLANTA GENERADORA DE OXIGENO PARA EL HOSPITAL ANDRES CUSCHIERI EN ATENCION A LA DEMANDA POR COVID-19,PIEZA,1.00,"275,000.00","275,000.00",CLAVIJO DOYNEL JAIME,"271,500.00","271,500.00",1.0,"271,500.00","271,500.00",Contratado,Cronograma 0
21-0417-06-1143362-1-1,34,1,2313150,43400,Cilindros o brilladoras - TUBOS DE OXIGENO DE 8M3 MAS ACCESORIOS,EQUIPO,6.0,"4,200.00","25,200.00",,,,6.0,"3,990.00","23,940.00",Contratado,Cronograma 0
21-0905-00-1162497-1-1,35,1,7212100,42230,Servicio de instalación y remodelación de edificaciones industriales prefabricadas - RESPONSABLE DEL PROCESO DE CONTRATACION  DE LICITACION PUBLICA -RPC,GLOBAL,1.0,"18,000,000.00","18,000,000.00",ASOCIACION ACCIDENTAL KENZIE ECONSALP,"17,987,543.19","17,987,543.19",,,,Contratado,Cronograma 0
20-0417-09-1076608-1-1,36,1,3913000,39800,Otros Repuestos Y Accesorios Concentrador De Oxigeno Medicinal.,GLOBAL,"1,00","234.708,00","234.708,00",ANTEZANA  CARLOS LEOPOLDO,"234.708,00","234.708,00","1,00","234.708,00","234.708,00",Contratado,Cronograma 0
21-1101-00-1141465-1-1,37,1,7310170,34200,"Servicios de producción de productos farmacéuticos - Servicio De Recargado De Oxigeno, Tipo Uso Medicinal (2021-01096)",servicio,"1,00","50.000,00","50.000,00",,,,"1,00","50.000,00","50.000,00",Contratado,Cronograma 0
20-1810-00-1046870-0-E,38,1,4227000,39400,MANOMETROS DE FLUJO (REGULADOR DE FLUJO PARA OXIGENO DE 0 A 15 LPM CON SU RESPECTIVA MASCARILLA Y HUMIDIFICADOR),PIEZAS,"20,00",,,QUISPE PEREZ OWALDO,"1.650,00","33.000,00","20,00","1.650,00","33.000,00",Contratado,Cronograma
21-0418-10-1185617-2-1,39,1,4111561,34200,Sondas de oxigeno disuelto - 3 Metros Cubicos por Botellon de 1.500 PSI,Pieza,"91,00","60,00","5.460,00",PANIAGUA FERNANDEZ LORENZO,"59,00","5.369,00",,,,Contratado,Cronograma 0
21-0418-10-1185617-2-1,39,2,4111561,34200,Sondas de oxigeno disuelto - 6 Metros Cubicos x Botellon de 2.000 PSI,Pieza,"339,00","160,00","54.240,00",PANIAGUA FERNANDEZ LORENZO,"155,00","52.545,00",,,,Contratado,Cronograma 0
21-0417-09-1174091-2-1,40,1,7215410,24120,Servicio de alquiler y mantenimiento de compresores de aire - MANTENIMIENTO SISTEMA DE CONCENTRACION DE OXIGENO MEDICINAL,servicio,1.0,"360,000.00","360,000.00",ANTEZANA  CARLOS LEOPOLDO,"356,000.00","356,000.00",,,,Contratado,Cronograma 0
20-0435-00-1043192-0-E,41,1,8510000,25120,SERVICIO DE ENTREGA DE CILINDROS DE OXIGENOS PARA LA CLINICA SINEC I,SERVICI O,1.0,,,NITROX SRL,"50,000.00","50,000.00",1.0,"50,000.00","50,000.00",Contratado,Cronograma
21-0906-03-1139925-1-1,42,1,1214190,34200,Oxígeno o - OXIGENO MEDICINAL,GAS,"500,00","100,00","50.000,00",,,,"500,00","100,00","50.000,00",Contratado,Cronograma 0
21-0046-37-1122906-1-2,43,1,4111311,43400,Analizadores de susceptibilidad paramagnética - Equipo Analizador Paramagnético para Control de Calidad de Oxigeno,Equipo,"1,00","210.250,00","210.250,00",B&S QUALITY SOCIEDAD DE RESPONSABILIDAD LIMITADA  B&S QUALITY S.R.L.,"204.000,00","204.000,00","1,00","204.000,00","204.000,00",Contratado,Cronograma 0
21-0046-37-1122906-1-2,43,2,4111311,43400,Analizadores de dióxido de carbono disuelto - Equipo para Análisis de Impureza (Trazas) de Dióxido de Carbono y Monóxido de Carbono en Oxigeno Medicinal,Equipo,"1,00","373.731,00","373.731,00",B&S QUALITY SOCIEDAD DE RESPONSABILIDAD LIMITADA  B&S QUALITY S.R.L.,"368.200,00","368.200,00","1,00","368.200,00","368.200,00",Contratado,Cronograma 0
20-0417-05-1040250-0-E,44,1,4110000,43400,CILINDRO DE OXIGENO MEDICINAL CARGADO CON VALVULA CGA-540,PZA.,16.0,,,PRAXAIR BOLIVIA S.R.L.,"1,540.00","24,640.00",16.0,"1,540.00","24,640.00",Contratado,Cronograma
21-1301-00-1137297-1-1,45,1,1214190,34200,Oxígeno o - oxigeno gas 93 a 99%,m3,"2.777,00","18,00","49.986,00",,,,"2.777,00","9,50","26.381,50",Contratado,Cronograma 0
20-0417-09-1047028-0-E,46,1,2410000,39800,20 PZA. MANOMETRO DE OXIGENO. ADMINISTRACION HIES LUO,PZA.,"20,00",,,MARTINEZ VILASECA ROBERTO,"2.500,00","50.000,00","20,00","2.500,00","50.000,00",Contratado,Cronograma
20-1201-00-1088269-1-1,47,1,5121000,34200,OXIGENO DE GAS MEDICINAL 6M3 (RECARGA- NO INCLUYE TUBO),M3,"3,756.00",13.3,"49,954.80",,,,"3,756.00",13.3,"49,954.80",Contratado,Cronograma 0
21-0906-03-1154766-1-1,48,1,1214190,34200,Oxígeno o - OXIGENO,GAS,"500,00","100,00","50.000,00",,,,"500,00","100,00","50.000,00",Contratado,Cronograma 0
21-1702-00-1161771-1-1,49,1,1214190,34200,Oxígeno o - OXIGENO MEDICINAL,M3,"2,500.00",20.0,"50,000.00",,,,"2,500.00",20.0,"50,000.00",Contratado,Cronograma 0
20-0417-02-1041801-0-E,50,1,5121000,34200,SERVICIO DE LLENADO DE OXIGENO 60 TUBOS GRANDES - 3 TUBOS MEDIANOS - 1 TUBO PEQUEÑO,TUBOS,"1,00",,,DADOJU S.R.L,"30.680,00","30.680,00","1,00","30.680,00","30.680,00",Contratado,Cronograma
