cuce,list_n,tipo_a,monto_a,tipo_b,monto_b,tipo_c,monto_c
21-0902-39-1154739-1-1,27,Total Referencial:,191379.4,Total Adjudicado:,161159.4,Total Recepcionado:,161159.4
21-0418-02-1186927-1-1,28,Total Referencial:,396000,Total Adjudicado:,396000,,
19-0417-03-1039991-0-E,29,Total Adjudicado:,49780,Total Recepcionado:,49780,,
21-0417-09-1107924-1-1,30,Total Referencial:,999900,Total Adjudicado:,999900,Total Recepcionado:,999900
20-1201-00-1050637-0-E,31,Total Adjudicado:,50000,Total Recepcionado:,50000,,
20-0906-03-1038824-0-E,32,Total Adjudicado:,44760,Total Recepcionado:,44760,,
20-1306-00-1056240-1-1,33,Total Referencial:,275000,Total Adjudicado:,271500,Total Recepcionado:,271500
21-0417-06-1143362-1-1,34,Total Referencial:,25200,Total Recepcionado:,23940,,
21-0905-00-1162497-1-1,35,Total Referencial:,18000000,Total Adjudicado:,17987543.19,,
20-0417-09-1076608-1-1,36,Total Referencial:,234708,Total Adjudicado:,234708,Total Recepcionado:,234708
21-1101-00-1141465-1-1,37,Total Referencial:,50000,Total Recepcionado:,50000,,
20-1810-00-1046870-0-E,38,Total Adjudicado:,33000,Total Recepcionado:,33000,,
21-0418-10-1185617-2-1,39,Total Referencial:,59700,Total Adjudicado:,57914,,
21-0417-09-1174091-2-1,40,Total Referencial:,360000,Total Adjudicado:,356000,,
20-0435-00-1043192-0-E,41,Total Adjudicado:,50000,Total Recepcionado:,50000,,
21-0906-03-1139925-1-1,42,Total Referencial:,50000,Total Recepcionado:,50000,,
21-0046-37-1122906-1-2,43,Total Referencial:,583981,Total Adjudicado:,572200,Total Recepcionado:,572200
20-0417-05-1040250-0-E,44,Total Adjudicado:,24640,Total Recepcionado:,24640,,
21-1301-00-1137297-1-1,45,Total Referencial:,49986,Total Recepcionado:,26381.5,,
20-0417-09-1047028-0-E,46,Total Adjudicado:,50000,Total Recepcionado:,50000,,
20-1201-00-1088269-1-1,47,Total Referencial:,49954.8,Total Recepcionado:,49954.8,,
21-0906-03-1154766-1-1,48,Total Referencial:,50000,Total Recepcionado:,50000,,
21-1702-00-1161771-1-1,49,Total Referencial:,50000,Total Recepcionado:,50000,,
20-0417-02-1041801-0-E,50,Total Adjudicado:,30680,Total Recepcionado:,30680,,
21-0417-04-1149828-1-1,51,Total Referencial:,49883.32,Total Recepcionado:,49883.32,,
21-1702-00-1161686-1-1,52,Total Referencial:,50000,Total Recepcionado:,50000,,
21-0417-09-1152827-1-1,53,Total Referencial:,50000,Total Recepcionado:,50000,,
19-0902-43-1035196-0-E,54,Total Adjudicado:,49940,Total Recepcionado:,49940,,
21-0417-04-1146840-1-1,55,Total Referencial:,49883.32,Total Recepcionado:,49883.32,,
21-0417-09-1127288-1-2,56,Total Referencial:,48500,Total Recepcionado:,48500,,
20-4601-00-1052508-0-E,57,Total Adjudicado:,49969,Total Recepcionado:,49969,,
21-0906-03-1127871-1-1,58,Total Referencial:,50000,Total Recepcionado:,50000,,
21-0417-04-1142595-1-1,59,Total Referencial:,49883.32,Total Recepcionado:,49883.32,,
20-0417-05-1073122-1-1,60,Total Referencial:,400000,Total Adjudicado:,346900,Total Recepcionado:,346900
20-0902-07-1061669-1-1,61,Total Referencial:,67200,Total Adjudicado:,66784,Total Recepcionado:,66784
21-1302-00-1107676-1-1,62,Total Referencial:,49992,Total Recepcionado:,24000,,
20-0908-00-1039245-0-E,63,Total Adjudicado:,49896,Total Recepcionado:,49896,,
20-0517-00-1037588-0-E,64,Total Adjudicado:,152100,Total Recepcionado:,152100,,
21-1605-00-1173980-1-1,65,Total Referencial:,49900,Total Recepcionado:,46250,,
21-0908-36-1187203-1-1,66,Total Referencial:,30132,Total Recepcionado:,30132,,
21-0902-43-1134932-1-1,67,Total Referencial:,999990,Total Adjudicado:,722215,Total Recepcionado:,694395
21-0046-28-1188915-1-1,68,Total Referencial:,19717,,,,
21-0417-04-1135367-1-1,69,Total Referencial:,980000,Total Adjudicado:,901600,Total Recepcionado:,991760
20-1115-00-1074119-1-1,70,Total Referencial:,46800,Total Recepcionado:,46800,,
20-0903-00-1095100-1-1,71,Total Referencial:,49741,Total Recepcionado:,27433,,
21-1201-00-1153724-1-1,72,Total Referencial:,49950,Total Recepcionado:,49950,,
21-1301-00-1137497-1-1,73,Total Referencial:,49986,Total Recepcionado:,30547,,
21-0906-03-1140227-1-1,74,Total Referencial:,50000,Total Recepcionado:,50000,,
21-0046-00-1174274-1-1,75,Total Referencial:,89999,Total Adjudicado:,89999,Total Recepcionado:,89999
21-1706-00-1148595-2-1,76,Total Referencial:,45000,Total Recepcionado:,45000,,
21-0906-03-1152317-1-1,77,Total Referencial:,200000,Total Adjudicado:,200000,Total Recepcionado:,200000
21-0417-07-1123834-2-1,78,Total Referencial:,256000,Total Adjudicado:,255200,Total Recepcionado:,255200
20-0908-00-1047150-0-E,79,Total Adjudicado:,50000,Total Recepcionado:,50000,,
21-0906-03-1140218-1-1,80,Total Referencial:,50000,Total Recepcionado:,50000,,
20-0902-21-1081660-1-1,81,Total Referencial:,20964.52,Total Recepcionado:,20964.52,,
21-1307-00-1146878-1-1,82,Total Referencial:,120000,Total Adjudicado:,101010,Total Recepcionado:,101010
20-1304-00-1050953-0-E,83,Total Adjudicado:,81000,Total Recepcionado:,81000,,
21-0417-03-1153688-1-1,84,Total Referencial:,38400,Total Recepcionado:,24960,,
20-1201-00-1036263-0-E,85,Total Adjudicado:,50000,Total Recepcionado:,50000,,
20-0417-09-1076008-1-1,86,Total Referencial:,76136.68000000001,Total Adjudicado:,60912.119999999995,Total Recepcionado:,60912.119999999995
20-0906-03-1038141-0-E,87,Total Adjudicado:,44268,Total Recepcionado:,44268,,
20-0903-00-1030531-2-1,88,Total Referencial:,179640,Total Adjudicado:,156643.8,Total Recepcionado:,156643.8
20-1201-00-1088213-1-1,89,Total Referencial:,49954.8,Total Recepcionado:,49954.8,,
21-1101-00-1173592-1-1,90,Total Referencial:,50000,Total Recepcionado:,50000,,
20-0906-03-1093941-1-1,91,Total Referencial:,199940,Total Adjudicado:,147648,Total Recepcionado:,147648
21-1205-00-1178370-1-1,92,Total Referencial:,29991,Total Recepcionado:,29991,,
21-1803-00-1184206-1-1,93,Total Referencial:,43500,Total Recepcionado:,43500,,
22-0046-00-1192507-1-1,94,Total Referencial:,49998,Total Recepcionado:,49959.54,,
20-0905-00-1046037-0-E,95,Total Adjudicado:,49954.8,Total Recepcionado:,49954.8,,
21-0417-04-1143393-1-1,96,Total Referencial:,49883.32,Total Recepcionado:,49883.32,,
21-1404-00-1108905-1-1,97,Total Referencial:,48360,Total Recepcionado:,43485,,
21-1312-00-1149847-1-1,98,Total Referencial:,48805.5,Total Recepcionado:,35120,,
20-1301-00-1044266-0-E,99,Total Adjudicado:,30000,Total Recepcionado:,30000,,
20-0902-42-1038612-0-E,100,Total Adjudicado:,36511.5,Total Recepcionado:,36511.5,,
20-1702-00-1051006-0-E,101,Total Adjudicado:,49977,Total Recepcionado:,49977,,
21-0903-00-1181472-1-1,102,Total Referencial:,198000,Total Adjudicado:,187000,,
21-0520-00-1140919-2-1,103,Total Referencial:,1000000,Total Adjudicado:,1000000,Total Recepcionado:,1000000
20-1604-00-1080159-1-1,104,Total Referencial:,49750,Total Recepcionado:,48250,,
20-1810-00-1040298-0-E,105,Total Adjudicado:,38700,Total Recepcionado:,38700,,
21-0906-03-1178884-1-1,106,Total Referencial:,270000,Total Adjudicado:,270000,Total Recepcionado:,270000
21-0906-03-1157784-1-1,107,Total Referencial:,50000,Total Recepcionado:,50000,,
20-1201-00-1089687-1-1,108,Total Referencial:,50000,Total Recepcionado:,46875,,
20-1803-00-1052310-0-E,109,Total Adjudicado:,498460,Total Recepcionado:,498460,,
20-1601-00-1039970-0-E,110,Total Adjudicado:,49700,Total Recepcionado:,49700,,
21-0906-03-1158773-1-1,111,Total Referencial:,50000,Total Recepcionado:,50000,,
20-1712-00-1049899-0-E,112,Total Adjudicado:,46000,Total Recepcionado:,46000,,
21-0417-05-1141466-1-1,113,Total Referencial:,109500,Total Adjudicado:,102000,Total Recepcionado:,102000
21-0417-09-1141742-1-1,114,Total Referencial:,82000,Total Adjudicado:,82000,Total Recepcionado:,82000
20-1401-00-1035484-0-E,115,Total Adjudicado:,31900,Total Recepcionado:,31900,,
20-0417-04-1059851-1-2,116,Total Referencial:,983000,Total Adjudicado:,684168,,
20-1401-00-1047432-0-E,117,Total Adjudicado:,45000,Total Recepcionado:,45000,,
21-1101-00-1174761-1-1,118,Total Referencial:,50000,Total Recepcionado:,44000,,
20-0906-03-1101338-1-1,119,Total Referencial:,50000,Total Recepcionado:,50000,,
20-0902-40-1042339-0-E,120,Total Adjudicado:,24150,Total Recepcionado:,24150,,
20-1803-00-1042914-0-E,121,Total Adjudicado:,49766,Total Recepcionado:,49766,,
21-1517-00-1146055-1-1,122,Total Referencial:,49500,Total Recepcionado:,46700,,
20-0902-43-1038376-1-2,123,Total Referencial:,799992,Total Adjudicado:,577772,Total Recepcionado:,577772
20-1201-00-1040707-0-E,124,Total Adjudicado:,64611.3,Total Recepcionado:,64611.3,,
22-0906-03-1191869-1-1,125,Total Referencial:,49980,Total Recepcionado:,49980,,
21-0902-21-1144688-1-1,126,Total Referencial:,999948,Total Adjudicado:,999948,Total Recepcionado:,999948
21-1206-00-1147310-1-1,127,Total Referencial:,49941,Total Recepcionado:,49941,,
21-0418-03-1144261-1-1,128,Total Referencial:,49950,Total Recepcionado:,49950,,
21-0901-02-1134711-1-2,129,Total Referencial:,225000,Total Adjudicado:,210000,Total Recepcionado:,177212
20-1605-00-1097740-1-1,130,Total Referencial:,1770000,Total Adjudicado:,1770000,Total Recepcionado:,1770000
21-1702-00-1174174-1-1,131,Total Referencial:,50000,Total Recepcionado:,50000,,
21-0417-05-1135948-2-2,132,Total Referencial:,105510,Total Adjudicado:,104790,Total Recepcionado:,104790
20-0418-10-1094965-1-1,133,Total Referencial:,65280,Total Adjudicado:,64805.5,Total Recepcionado:,64805.5
21-0417-09-1168176-1-1,134,Total Referencial:,54000,Total Adjudicado:,18000,Total Recepcionado:,18000
21-0417-08-1149098-1-1,135,Total Referencial:,680000,Total Adjudicado:,679920,,
21-1205-00-1154324-1-1,136,Total Referencial:,49998,Total Recepcionado:,49998,,
21-0903-00-1185351-1-1,137,Total Referencial:,537840,Total Adjudicado:,507960,,
21-1101-00-1174290-1-1,138,Total Referencial:,50000,Total Recepcionado:,49000,,
21-0906-03-1154775-1-1,139,Total Referencial:,50000,Total Recepcionado:,50000,,
21-0906-03-1149240-1-1,140,Total Referencial:,49701.06,Total Recepcionado:,49701.06,,
21-0046-00-1112729-1-1,141,Total Referencial:,199998,Total Adjudicado:,199998,Total Recepcionado:,199998
21-0046-00-1181892-1-1,142,Total Referencial:,29874,Total Recepcionado:,29874,,
20-1302-00-1037000-0-E,143,Total Adjudicado:,45520,,,,
20-1245-00-1087719-1-1,144,Total Referencial:,24850,Total Recepcionado:,24850,,
20-1406-00-1093972-1-1,145,Total Referencial:,32000,Total Recepcionado:,27000,,
20-0906-03-1037723-0-E,146,Total Adjudicado:,49944.3,Total Recepcionado:,49944.3,,
20-1434-00-1100643-1-1,147,Total Referencial:,49000,Total Recepcionado:,46900,,
20-1302-00-1044906-0-E,148,Total Adjudicado:,28000,Total Recepcionado:,28000,,
21-0418-07-1182871-1-1,149,Total Referencial:,2600000,Total Adjudicado:,1508000,,
21-0906-03-1170065-1-1,150,Total Referencial:,47500,Total Recepcionado:,47500,,
20-0906-03-1035409-1-1,151,Total Referencial:,299945.6,Total Adjudicado:,222976,Total Recepcionado:,222976
20-1312-00-1044975-0-E,152,Total Adjudicado:,46524,Total Recepcionado:,46524,,
20-3701-00-1084794-1-1,153,Total Referencial:,42000,Total Recepcionado:,29500,,
20-1805-00-1048612-0-E,154,Total Adjudicado:,344750,Total Recepcionado:,344750,,
20-1810-00-1092617-1-1,155,Total Referencial:,28800,Total Recepcionado:,28800,,
20-1301-00-1086407-1-1,156,Total Referencial:,300000,Total Recepcionado:,262500,,
21-0417-03-1147812-2-2,157,Total Referencial:,999997.8,Total Adjudicado:,799998.24,Total Recepcionado:,799998.24
21-0902-42-1185221-1-1,158,Total Referencial:,225010,Total Adjudicado:,224773.16,,
20-1501-00-1078339-1-1,159,Total Referencial:,3166800,Total Recepcionado:,3166800,,
20-1805-00-1044791-0-E,160,Total Adjudicado:,49700,Total Recepcionado:,49700,,
21-0422-00-1161027-1-1,161,Total Referencial:,23760,Total Recepcionado:,12000,,
21-1702-00-1145989-1-1,162,Total Referencial:,50000,Total Recepcionado:,50000,,
21-1205-00-1185263-1-1,163,Total Referencial:,49986,Total Recepcionado:,49986,,
20-0525-00-1041707-0-E,164,Total Adjudicado:,10900,Total Recepcionado:,10900,,
20-1302-00-1098259-1-1,165,Total Referencial:,252200,Total Recepcionado:,244990,,
20-0906-03-1038819-0-E,166,Total Adjudicado:,44760,Total Recepcionado:,44760,,
20-0905-00-1040861-0-E,167,Total Adjudicado:,49954.8,Total Recepcionado:,49954.8,,
20-1301-00-1084904-1-1,168,Total Referencial:,3350000,Total Recepcionado:,3350000,,
20-1119-00-1044485-0-E,169,Total Adjudicado:,142280,Total Recepcionado:,138860,,
21-1101-00-1149591-1-1,170,Total Referencial:,50000,Total Recepcionado:,50000,,
21-0432-00-1116245-1-1,171,Total Referencial:,25500,Total Recepcionado:,25500,,
21-1302-00-1163915-1-1,172,Total Referencial:,249995.34999999998,Total Adjudicado:,181814.8,Total Recepcionado:,181814.8
21-1519-00-1178148-1-1,173,Total Referencial:,43500,Total Recepcionado:,40500,,
21-0906-03-1135027-1-1,174,Total Referencial:,50000,Total Recepcionado:,50000,,
20-1703-00-1049629-0-E,175,Total Adjudicado:,23500,Total Recepcionado:,23500,,
20-0902-42-1032817-0-E,176,Total Adjudicado:,41989.8,Total Recepcionado:,41989.8,,
20-1201-00-1088296-1-1,177,Total Referencial:,49954.8,Total Recepcionado:,49954.8,,
21-1301-00-1165409-1-1,178,Total Referencial:,49500,Total Recepcionado:,48499,,
21-1101-00-1180140-2-2,179,Total Referencial:,517986,Total Adjudicado:,517698.23000000004,,
20-0046-21-1089172-1-2,180,Total Referencial:,249999.88999999998,Total Adjudicado:,170079.55,Total Recepcionado:,170079.55
20-0417-07-1051224-0-E,181,Total Adjudicado:,299500,Total Recepcionado:,299500,,
21-0906-03-1145412-1-1,182,Total Referencial:,31293.260000000002,Total Recepcionado:,31293.260000000002,,
20-1335-00-1092302-1-2,183,Total Referencial:,49500,Total Recepcionado:,45882,,
21-1301-00-1137278-1-1,184,Total Referencial:,49986,Total Recepcionado:,26381.5,,
21-0138-00-1150024-1-1,185,Total Referencial:,75000,Total Adjudicado:,75000,Total Recepcionado:,75000
20-1805-00-1037775-0-E,186,Total Adjudicado:,49700,Total Recepcionado:,49700,,
20-1805-00-1048589-0-E,187,Total Adjudicado:,90000,Total Recepcionado:,90000,,
21-0417-04-1149841-1-1,188,Total Referencial:,49883.32,Total Recepcionado:,49883.32,,
21-1101-00-1156325-1-1,189,Total Referencial:,50000,Total Recepcionado:,50000,,
21-1101-00-1172280-1-1,190,Total Referencial:,50000,Total Recepcionado:,50000,,
20-0906-03-1041187-0-E,191,Total Adjudicado:,27200,Total Recepcionado:,27200,,
21-0046-00-1142559-1-1,192,Total Referencial:,199998,Total Adjudicado:,199998,Total Recepcionado:,199998
20-1801-00-1049208-0-E,193,Total Adjudicado:,29988,Total Recepcionado:,29988,,
21-0906-03-1156662-2-1,194,Total Referencial:,200000,Total Adjudicado:,200000,Total Recepcionado:,200000
20-1810-00-1049574-0-E,195,Total Adjudicado:,48372,Total Recepcionado:,48372,,
20-1312-00-1037166-1-2,196,Total Referencial:,112000,Total Adjudicado:,112000,Total Recepcionado:,112000
21-0417-04-1143132-1-2,197,Total Referencial:,899989.54,Total Adjudicado:,862186,Total Recepcionado:,948402
20-1301-00-1100674-1-1,198,Total Referencial:,891468,Total Recepcionado:,396208,,
20-0417-09-1095347-1-1,199,Total Referencial:,590000,Total Recepcionado:,458000,,
20-1810-00-1078693-1-1,200,Total Referencial:,26460,Total Recepcionado:,26460,,
21-0418-40-1185096-1-1,201,Total Referencial:,30000,,,,
21-1701-00-1184317-1-1,202,Total Referencial:,97848,Total Adjudicado:,88063.2,,
20-1810-00-1042104-0-E,203,Total Adjudicado:,44560,Total Recepcionado:,44560,,
21-0417-09-1164819-1-1,204,Total Referencial:,440600,Total Adjudicado:,440600,Total Recepcionado:,440600
20-1604-00-1078333-1-1,205,Total Referencial:,39936.06,Total Recepcionado:,39936.06,,
20-1401-00-1049763-0-E,206,Total Adjudicado:,43944,Total Recepcionado:,43944,,
21-1312-00-1176377-1-1,207,Total Referencial:,33640,Total Recepcionado:,27260,,
21-0520-00-1179386-1-1,208,Total Referencial:,248566.64,Total Adjudicado:,245981.91,Total Recepcionado:,245981.91
21-1201-00-1145386-1-1,209,Total Referencial:,49950,Total Recepcionado:,49950,,
21-0905-00-1182836-1-1,210,Total Referencial:,39069,Total Recepcionado:,34500,,
20-1302-00-1044902-0-E,211,Total Adjudicado:,21000,Total Recepcionado:,21000,,
21-0901-02-1175578-1-1,212,Total Referencial:,145600,Total Adjudicado:,143000,Total Recepcionado:,143000
21-0906-03-1183742-1-1,213,Total Referencial:,49980,Total Recepcionado:,49971.67,,
21-0906-03-1135022-1-1,214,Total Referencial:,50000,Total Recepcionado:,50000,,
20-1702-00-1041089-0-E,215,Total Adjudicado:,49977,Total Recepcionado:,49977,,
20-0902-43-1078718-1-1,216,Total Referencial:,49990.5,Total Recepcionado:,47817,,
21-1205-00-1178376-1-1,217,Total Referencial:,29992.5,Total Recepcionado:,29992.5,,
20-0902-42-1038435-0-E,218,Total Adjudicado:,36950.4,Total Recepcionado:,36950.4,,
21-1704-00-1150637-1-1,219,Total Referencial:,50000,Total Recepcionado:,50000,,
20-1725-00-1102146-1-1,220,Total Referencial:,32734.18,Total Recepcionado:,30788.14,,
20-1401-00-1037338-0-E,221,Total Adjudicado:,48000,Total Recepcionado:,48000,,
20-0906-03-1040639-1-1,222,Total Referencial:,299950,Total Adjudicado:,188540,Total Recepcionado:,188540
20-0903-00-1095121-1-1,223,Total Referencial:,46176,Total Recepcionado:,25386,,
20-1201-00-1088223-1-1,224,Total Referencial:,49954.8,Total Recepcionado:,49954.8,,
20-0908-00-1047672-0-E,225,Total Adjudicado:,44000,Total Recepcionado:,44000,,
21-4601-00-1116617-1-1,226,Total Referencial:,49980,Total Recepcionado:,49980,,
21-1712-00-1146431-1-1,227,Total Referencial:,40500,Total Recepcionado:,40500,,
21-0906-03-1161745-1-1,228,Total Referencial:,50000,Total Recepcionado:,50000,,
20-0417-09-1032544-0-E,229,Total Adjudicado:,36000,Total Recepcionado:,36000,,
21-1101-00-1169671-1-1,230,Total Referencial:,50000,Total Recepcionado:,50000,,
20-1312-00-1040034-0-E,231,Total Adjudicado:,49937.5,Total Recepcionado:,47375,,
20-0418-40-1048053-1-1,232,Total Referencial:,120000,Total Adjudicado:,119900,Total Recepcionado:,119900
21-0417-04-1147179-1-1,233,Total Referencial:,49883.32,Total Recepcionado:,49883.32,,
21-1101-00-1176699-1-1,234,Total Referencial:,50000,Total Recepcionado:,50000,,
20-0418-02-1073508-1-1,235,Total Referencial:,960000,Total Adjudicado:,960000,Total Recepcionado:,388493.13
21-0901-02-1169689-1-1,236,Total Referencial:,179200,Total Recepcionado:,179200,,
20-0382-00-1040167-0-E,237,Total Adjudicado:,14619600,Total Recepcionado:,14619600,,
20-0417-09-1036241-0-E,238,Total Adjudicado:,49700,Total Recepcionado:,49700,,
21-1205-00-1149913-1-1,239,Total Referencial:,300000,Total Adjudicado:,252000,Total Recepcionado:,252000
21-0906-03-1160468-1-1,240,Total Referencial:,50000,Total Recepcionado:,50000,,
20-1201-00-1036242-0-E,241,Total Adjudicado:,50000,Total Recepcionado:,50000,,
20-0417-09-1033941-0-E,242,Total Adjudicado:,49000,Total Recepcionado:,49000,,
21-1301-00-1137489-1-1,243,Total Referencial:,49986,Total Recepcionado:,30547,,
20-0908-00-1039113-0-E,244,Total Adjudicado:,49986,Total Recepcionado:,49986,,
21-0046-00-1151467-1-1,245,Total Referencial:,749988,Total Adjudicado:,749988,Total Recepcionado:,749988
22-0906-03-1192262-1-1,246,Total Referencial:,49980,Total Recepcionado:,49980,,
20-1227-00-1043361-0-E,247,Total Adjudicado:,25500,Total Recepcionado:,25500,,
20-0417-06-1077195-1-1,248,Total Referencial:,68000,Total Adjudicado:,56000,Total Recepcionado:,56000
21-1302-00-1149965-1-2,249,Total Referencial:,315000,Total Adjudicado:,307500,Total Recepcionado:,307500
21-0906-03-1166975-1-1,250,Total Referencial:,450000,Total Adjudicado:,292500,Total Recepcionado:,292500
20-0411-00-1095901-1-1,251,Total Referencial:,149988,Total Adjudicado:,116312.5,Total Recepcionado:,116312.5
20-1201-00-1046344-0-E,252,Total Adjudicado:,50000,Total Recepcionado:,50000,,
20-0046-00-1039093-0-E,253,Total Adjudicado:,69000,Total Recepcionado:,69000,,
20-0411-00-1077771-1-2,254,Total Referencial:,900000,Total Adjudicado:,590640,Total Recepcionado:,649704
21-1801-00-1133994-1-1,255,Total Referencial:,49968,Total Recepcionado:,49968,,
20-1325-00-1096586-1-1,256,Total Referencial:,35000,Total Recepcionado:,28000,,
21-1201-00-1182409-1-1,257,Total Referencial:,49958.3,Total Recepcionado:,49958.3,,
20-1601-00-1051433-0-E,258,Total Adjudicado:,44400,,,,
21-1201-00-1156379-1-1,259,Total Referencial:,49950,Total Recepcionado:,49950,,
21-0906-03-1139915-1-1,260,Total Referencial:,50000,Total Recepcionado:,50000,,
21-0046-21-1140023-2-1,261,Total Referencial:,300000.02,Total Adjudicado:,245543.5,,
20-0901-02-1093991-1-1,262,Total Referencial:,1572800,Total Recepcionado:,989040,,
21-0417-06-1143348-2-1,263,Total Referencial:,117000,Total Adjudicado:,114000,,
20-1119-00-1078302-1-1,264,Total Referencial:,187400,Total Adjudicado:,168400,Total Recepcionado:,168400
21-1201-00-1158087-1-1,265,Total Referencial:,49995,Total Recepcionado:,49995,,
20-1257-00-1094772-1-1,266,Total Referencial:,116000,Total Recepcionado:,106000,,
21-0906-03-1141604-1-1,267,Total Referencial:,49701.06,Total Recepcionado:,49701.06,,
21-1302-00-1111787-3-2,268,Total Referencial:,121590,Total Adjudicado:,121011,Total Recepcionado:,121011
21-0906-03-1154772-1-1,269,Total Referencial:,50000,Total Recepcionado:,50000,,
21-1301-00-1155982-1-1,270,Total Referencial:,17730,Total Recepcionado:,17730,,
20-1810-00-1049168-0-E,271,Total Adjudicado:,39000,Total Recepcionado:,39000,,
20-1206-00-1093902-1-1,272,Total Referencial:,49987.5,Total Recepcionado:,49987.5,,
22-0902-01-1194136-1-1,273,Total Referencial:,32000,,,,
21-0417-04-1145770-1-1,274,Total Referencial:,80000,Total Adjudicado:,60000,Total Recepcionado:,60000
20-1702-00-1083175-1-1,275,Total Referencial:,50000,Total Recepcionado:,50000,,
20-1805-00-1040730-0-E,276,Total Adjudicado:,49700,Total Recepcionado:,49700,,
20-0905-00-1041142-1-1,277,Total Referencial:,249000,Total Adjudicado:,249000,Total Recepcionado:,249000
20-0046-00-1043712-0-E,278,Total Adjudicado:,72000,Total Recepcionado:,72000,,
20-0902-43-1037699-0-E,279,Total Adjudicado:,50000,Total Recepcionado:,50000,,
20-0902-40-1040825-0-E,280,Total Adjudicado:,22400,Total Recepcionado:,22400,,
21-0422-00-1154017-2-1,281,Total Referencial:,52800,Total Adjudicado:,49600,Total Recepcionado:,49600
19-0417-03-1034294-0-E,282,Total Adjudicado:,23000,Total Recepcionado:,23000,,
20-1803-00-1050939-0-E,283,Total Adjudicado:,128355,Total Recepcionado:,128355,,
21-1701-00-1188561-1-1,284,Total Referencial:,39128,,,,
20-0417-05-1075987-1-1,285,Total Referencial:,834000,Total Adjudicado:,490200,Total Recepcionado:,
21-0906-03-1182367-1-1,286,Total Referencial:,49980,Total Recepcionado:,49980,,
21-1701-00-1188607-1-1,287,Total Referencial:,45000,,,,
21-0906-03-1186394-1-1,288,Total Referencial:,49980,Total Recepcionado:,49980,,
20-3701-00-1090767-1-1,289,Total Referencial:,34000,Total Recepcionado:,26000,,
20-0046-28-1099533-1-1,290,Total Referencial:,49633,Total Recepcionado:,12284.3,,
21-1205-00-1149927-1-1,291,Total Referencial:,300000,Total Adjudicado:,252000,Total Recepcionado:,252000
20-1301-00-1051184-0-E,292,Total Adjudicado:,39000,Total Recepcionado:,39000,,
20-1702-00-1034795-0-E,293,Total Adjudicado:,49977,Total Recepcionado:,49977,,
20-0417-09-1092487-1-1,294,Total Referencial:,540000,Total Recepcionado:,536625,,
21-0046-22-1168211-1-1,295,Total Referencial:,99000,Total Adjudicado:,99000,,
20-1346-00-1047059-0-E,296,Total Adjudicado:,20510,Total Recepcionado:,20510,,
21-0902-39-1185743-1-1,297,Total Referencial:,411400,Total Adjudicado:,410960,,
