tema,cuce,entidad,tipo_contratacion,modalidad,objeto,estado.x,subasta,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_proceso,persona_contacto,garantia,costo_pliego,arpc,reunion_aclaracion,fecha_adjudicacion_desierta,departamento,normativa,numero,codigo_unspsc,objeto_de_gasto,descripcion_del_bien_o_servicio,unidad_de_medida,cantidad,precio_referencial_unitario,precio_referencial_total,nombre_o_razon_social_del_proponente_adjudicado,precio_unitario_adjudicado,total_adjudicado,cantidad_recepcionada,precio_unitario_real,monto_real_ejecutado,estado.y,cronograma
oxigeno,20-1401-00-1035484-0-E,Gobierno Autonomo Municipal De Oruro,Bienes,CM,5 Equipo Generador De Oxigeno (Unidad De Salud Municipal - Para La Unidad De Hemodialisis Alm-P-00306/20),Contratado,NA,NA,2020-03-12,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Andres Angulo Rocha (Telf: 25251624),NA,NA,-,NA,2020-02-20,Oruro,NB-SABS (D.S.0181),1,4218000,43400,5 EQUIPO GENERADOR DE OXIGENO (UNIDAD DE SALUD MUNICIPAL - PARA LA UNIDAD DE HEMODIALISIS ALM-P- 00306/20),EQUIPO,5,NA,NA,GUZMAN QUIROGA KATTY ROXANA LILIA,6380,31900,5,6380,31900,Contratado,Cronograma
oxigeno,20-0906-03-1035409-1-1,Servicio Departamental De Salud Tarija - Sedes,Bienes,ANPP,Primera Adquisicion De Oxigeno Anpe N°1 Para El Hospital Regional San Juan De Dios,Contratado,NA,2020-03-24,2020-03-12,Especificaciones TecnicasConvocatoriaDocumento Base de ContratacionRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionContrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 100FORM 170FORM 200FORM 500,Ver Ficha,Marisol Tolay Cabero (Telf: 4-6643257),NA,NA,-,NA,2020-03-27,Tarija,NB-SABS (D.S.0181),1,1214000,34200,PRIMERA ADQUISICION DE OXIGENO ANPE N°1,GAS,4288,69.95,299945.6,OXISUR S.R.L.,52,222976,4288,52,222976,Contratado,Cronograma 0
oxigeno,19-0902-43-1035196-0-E,Hospital Del Norte,Bienes,CM,Adquisicion De Humidificadores Y Reguladores De Oxigeno,Contratado,NA,NA,2020-03-12,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitivaActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Roberto Marcelo Juan Zegarra Avendaño (Telf: 2864070),NA,NA,-,NA,2019-12-17,La Paz,NB-SABS (D.S.0181),1,4214000,39400,REGULADOR DE OXIGENO PARA TUBO DE OXIGENO DE 2M3,PIEZA,15,NA,NA,PRAXAIR BOLIVIA S.R.L.,750,11250,15,750,11250,Contratado,Cronograma
plasma,20-0417-04-1035224-1-1,Caja Nacional De Salud Regional Cochabamba,Bienes,ANPE,Compra Cassette Al Plasma Para Supervision Regional De Enfermeria - Regional Cochabamba,Contratado,NA,2020-03-18,2020-03-12,ConvocatoriaDocumento Base de ContratacionRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionContrato/Orden de Compra/Orden de Servicio,FORM 100FORM 170FORM 200,Ver Ficha,Marcela Katherine Valdivia Humerez (Telf: 4234378),NA,NA,-,NA,2020-03-25,Cochabamba,NB-SABS (D.S.0181),1,4228000,34200,CASSETTE AL PLASMA,PIEZA,150,980,147000,GEDESA LTDA,980,147000,NA,NA,NA,Contratado,Cronograma 0
gel,20-0599-00-1035937-0-E,Empresa Boliviana De Alimentos Y Derivados-Eba,Bienes,CD,"Adquisicion De Raciones Solidas Y Postre Gelificado Para Las Unidades Educativas Del Municipio De Vinto, Eba/Cd/2020-018.",Contratado,NA,NA,2020-03-16,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Elida Beatriz Flores Ichuta (Telf: 2145707),NA,NA,-,NA,2020-02-03,La Paz,NB-SABS (D.S.0181),1,5016000,31300,POSTRE GELIFICADO DE 110 GRAMOS.,RACION,167960,NA,NA,OVOPLUS S.R.L.,1.25,209950,NA,NA,NA,Contratado,Cronograma
covid,20-1302-00-1036236-0-E,Gobierno Autonomo Municipal De Quillacollo,Bienes,CM,Compra Urgente De Material De Bioseguridad Covid-19 Para El Personal Del Hospital Dr. Benigno Sanchez De Quillacollo,Contratado,NA,NA,2020-03-17,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Claudia Samira Ortega Flores (Telf: 4260095),NA,NA,-,NA,2020-03-11,Cochabamba,NB-SABS (D.S.0181),1,4214000,34200,COMPRA URGENTE DE MATERIAL DE BIOSEGURIDAD COVID-19 PARA EL PERSONAL DEL HOSPITAL DR. BENIGNO SANCHEZ DE QUILLACOLLO,GLOBAL,1,NA,NA,DISPROMED SRL.,49580,49580,1,49580,49580,Contratado,Cronograma
oxigeno,20-0902-42-1032817-0-E,Instituto Nacional Del Torax,Bienes,CM,Adquisicion De Oxigeno Gas Medicinal Del Mes De Enero,Contratado,NA,NA,2020-03-17,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Paola Andrea Lopez Paredes (Telf: 2226462),NA,NA,-,NA,2020-01-24,La Paz,NB-SABS (D.S.0181),1,1214000,34200,ADQUISICION DE OXIGENO GAS MEDICINAL,GAS,1,NA,NA,PRAXAIR BOLIVIA S.R.L.,41989.8,41989.8,1,41989.8,41989.8,Contratado,Cronograma
oxigeno,20-1201-00-1036242-0-E,Gobierno Autonomo Municipal De La Paz,Bienes,CM,Adquisicion De Oxigeno Para Atencion S.U.S. - Hospital Municipal Cotahuma Gestion 2020,Contratado,NA,NA,2020-03-17,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Melissa Soledad Flores Bustamante (Telf: 2203034),NA,NA,-,NA,2020-03-05,La Paz,NB-SABS (D.S.0181),1,5121000,34200,OXIGENO MEDICINAL - CILINDRO CARGADO CON OXIGENO GAS MED. DE 6M3(NO INCLUYE CILINDRO) (SEGUN ESPECIFICACIONES TECNICAS),TUBO,625,NA,NA,3 H INDUSTRIALES S.R.L.,80,50000,625,80,50000,Contratado,Cronograma
oxigeno,20-0417-09-1036241-0-E,Caja Nacional De Salud - Regional La Paz,Bienes,CM,"4 Items Otros Repuestos Y Accesorios (2 Juegos Repuestos Para Mantenimiento Para Sabina, 4 Pza Sensores De Presion Para Oxigeno, 1 Pza Tarjeta Pcb De Control De Oxigeno, 2 Pza Trampas De Agua Entrada). Electromedicina Hode Materno Infantil",Contratado,NA,NA,2020-03-17,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Brayan Luis Cabrera Vera (Telf: 2-901777),NA,NA,-,NA,2020-03-09,La Paz,NB-SABS (D.S.0181),1,3912000,39800,"4 ITEMS OTROS REPUESTOS Y ACCESORIOS (2 JUEGOS REPUESTOS PARA MANTENIMIENTO PARA SABINA, 4 PZA SENSORES DE PRESION PARA OXIGENO, 1 PZA TARJETA PCB DE CONTROL DE OXIGENO, 2 PZA TRAMPAS DE AGUA ENTRADA)",GLOBAL,1,NA,NA,SOCIEDAD COMERCIAL E INDUSTRIAL HANSA LIMITADA,49700,49700,1,49700,49700,Contratado,Cronograma
todos_temas,20-1302-00-1036469-0-E,Gobierno Autonomo Municipal De Quillacollo,Bienes,CM,Compra De Jeringas Descartables De 3ml Para Campaña De Vacunacion Antirrabica Para La Unidad De Zoonosis,Contratado,NA,NA,2020-03-17,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Claudia Samira Ortega Flores (Telf: 4260095),NA,NA,-,NA,2020-03-10,Cochabamba,NB-SABS (D.S.0181),1,5121000,34200,COMPRA DE JERINGAS DESCARTABLES DE 3ML PARA CAMPAÑA DE VACUNACION ANTIRRABICA PARA LA UNIDAD DE ZOONOSIS,GLOBAL,1,NA,NA,TERRAZAS RIVAS MIGUEL ANGEL,25600,25600,1,25600,25600,Contratado,Cronograma
todos_temas,20-1312-00-1036342-0-E,Gobierno Autonomo Municipal De Sacaba,Bienes,CM,Adquisición De Vacunas Fármacos Y Reactivos E Insumos Veterinarios (Adquisición De Jeringas Desechables Para Las Campañas De Vacunacion Antirrábica Canina Y Felina Gestión 2020),Contratado,NA,NA,2020-03-17,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Dering Orozco Meneces (Telf: 4702301),NA,NA,-,NA,2020-03-05,Cochabamba,NB-SABS (D.S.0181),1,5121000,34200,ADQUISICIÓN DE JERINGAS DESECHABLES PARA LAS CAMPAÑAS DE VACUNACION ANTIRRÁBICA CANINA Y FELINA GESTIÓN 2020,PIEZA,137000,NA,NA,TERRAZAS RIVAS MIGUEL ANGEL,0.27,36990,137000,0.27,36990,Contratado,Cronograma
alcohol,19-0417-03-1036590-0-E,Caja Nacional De Salud Regional Santa Cruz,Bienes,CM,300 Pza. Aplicador De Clorhexidina Al 2% + Alcohol  Al 70% De 35 Ml - Servicio De Quirofano Y Anestesiologia Hosp. Mat. Inf. Cns,Contratado,NA,NA,2020-03-18,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Reinaldo Montes Sandoval (Telf: 3393354),NA,NA,-,NA,2019-11-13,Santa Cruz,NB-SABS (D.S.0181),1,4217000,34200,300 PZA. APLICADOR DE CLORHEXIDINA AL 2% MAS ALCOHOL AL 70% DE 35 ML,PIEZA,300,NA,NA,DISTRIBUIDORA GUTIERREZ & CIA SRL,110,33000,300,110,33000,Contratado,Cronograma
alcohol,20-0512-00-1036261-0-E,Aasana,Bienes,CM,"Adquisiciã??N De Barbijos N 95, Barbijos Normales, Alcohol En Gel, Y Guante De Latex Para Los Aeropuertos De Uyuni, Oruro Y Cobija",Contratado,NA,NA,2020-03-18,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioDoc. resolucion Contrato / Doc. deja sin efecto Orden de Compra/Servicio,FORM 400FORM 600,Ver Ficha,Libertad Cuper Quispe (Telf: 2319731),NA,NA,-,NA,2020-03-10,La Paz,NB-SABS (D.S.0181),1,4618000,39100,GUANTES DE LATEX,PARES,600,NA,NA,GOMEZ TRINCADO PAMELA SAMANTA,1.3,780,NA,NA,NA,Resuelto,Cronograma
todos_temas,20-0901-00-1036666-1-1,Gobierno Autonomo Departamental De Chuquisaca,Bienes,ANPP,Adquisicion De Productos Quimicos Y Farmaceuticos (Vacunas Y Otros Para Prevencion Y Control De Enfermedades En Animales) Para El Programa Sanidad Animal Y Vegetal,Contratado,NA,2020-06-01,2020-03-18,ConvocatoriaDocumento Base de ContratacionResolucion/Documento de SuspensionResolucion/Documento de ReanudacionActa Reunion de AclaracionInforme de la Comision/Responsable de EvaluacionRes. de Desierta (nota)Res. de Adjudicacion (nota)Ver mas...,FORM 100FORM 100-EFORM RPSFORM 170FORM 200FORM 500,Ver Ficha,Jorge  Luis Bayo Parina (Telf: (591-4) 64-39675 ),NA,NA,-,25/03/2020 10:00,2020-06-05,Chuquisaca,NB-SABS (D.S.0181),1,8511000,34200,ITEM II = Vacuna para carbunco bacteridiano y sintomático,DOSIS,40000,2.8,112000,CRUZ  ROSARIO CAMILA,2.8,112000,40000,2.8,112000,Contratado,Cronograma 2
oxigeno,20-1201-00-1036263-0-E,Gobierno Autonomo Municipal De La Paz,Bienes,CM,Adquisicion De Oxigeno Para Unidad De Terapia Intensiva - Hospital Municipal Cotahuma Gestion 2020,Contratado,NA,NA,2020-03-19,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Melissa Soledad Flores Bustamante (Telf: 2203034),NA,NA,-,NA,2020-03-05,La Paz,NB-SABS (D.S.0181),1,5121000,34200,OXIGENO MEDICINAL- CILINDRO CARGADO CON OXIGENO GAS MED. DE 6M3(NO INCLUYE CILINDRO) (SEGUN ESPECIFICACIONES TECNICAS),TUBO,625,NA,NA,3 H INDUSTRIALES S.R.L.,80,50000,625,80,50000,Contratado,Cronograma
alcohol,20-0660-11-1036951-0-E,Direccion Administrativa Y Financiera - Organo Judicial - Oruro,Bienes,CM,Adquisicion Alcohol En Gel,Contratado,NA,NA,2020-03-20,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Maritza Marlene Cadiz Medina (Telf: 5251965),NA,NA,-,NA,2020-03-13,Oruro,NB-SABS (D.S.0181),1,4713000,39100,ALCOHOL EN GEL,BOTE,3200,NA,NA,CHALCO AGUILAR DE VELASCO ROSA,14,44800,3200,14,44800,Contratado,Cronograma
oxigeno,20-1302-00-1037000-0-E,Gobierno Autonomo Municipal De Quillacollo,Bienes,CM,Compra De Oxigeno Medicinal De Febrero A Diciembre De La Gestion 2020 Para El Hospital Dr. Benigno Sanchez Quillacollo,Contratado,NA,NA,2020-03-20,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Mireya Torrez Lizarazu (Telf: 4260095),NA,NA,-,NA,2020-02-18,Cochabamba,NB-SABS (D.S.0181),1,1214000,34200,OXIGENO GAS BOTELLON 1 M3,M3,170,NA,NA,NITROX SRL,8,1360,NA,NA,NA,Contratado,Cronograma
oxigeno,20-1401-00-1037338-0-E,Gobierno Autonomo Municipal De Oruro,Bienes,CM,"1 Pza, Aspirador Para Dialisis, 1 Pza, Concentrador De Oxigeno Para Dialisis, 1 Pza. Desfibrilador Para Dialisis Unidad De Salud Municipal - Para Los Diferentes Centros De Salud Del Municipio Alm-P-00109",Contratado,NA,NA,2020-03-21,Res. de Adjudicacion (nota)Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Andres Angulo Rocha (Telf: 25251624),NA,NA,-,NA,2020-02-20,Oruro,NB-SABS (D.S.0181),1,4216000,43400,"1 PZA, ASPIRADOR PARA DIALISIS, 1 PZA, CONCENTRADOR DE OXIGENO PARA DIALISIS, 1 PZA. DESFIBRILADOR PARA DIALISIS UNIDAD DE SALUD MUNICIPAL - PARA LOS DIFERENTES CENTROS DE SALUD DEL MUNICIPIO ALM- P-00",PIEZA,1,NA,NA,VARGAS RIVAS JOSE MIGUEL,48000,48000,1,48000,48000,Contratado,Cronograma
coronavirus,20-1805-00-1037421-0-E,Gobierno Autonomo Municipal De Guayaramerin,Bienes,EM,Asdquisicion De Emergencia De Alimentos Perecibles Y No Perecibles Para La Emergencia Sanitaria Para La Prevencion Control Y Atencion Del Coronavirus En El Municipio De Guayaramerin Correspondiente A La Gestion 2020,Contratado,NA,NA,2020-03-23,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitivaActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Fabiola Aliaga Anara (Telf: 8553628),NA,NA,-,NA,2020-03-20,Beni,NB-SABS (D.S.0181),1,5019000,31120,ASDQUISICION DE EMERGENCIA DE ALIMENTOS PERECIBLES Y NO PERECIBLES PARA LA EMERGENCIA SANITARIA PARA LA PREVENCION CONTROL Y ATENCION DEL CORONAVIRUS EN EL MUNICIPIO DE GUAYARAMERIN CORRESPONDIENTE A,GLOBAL,1,NA,NA,MAIMURA SIERRA ANGEL ANTONIO,50000,50000,1,50000,50000,Contratado,Cronograma
coronavirus,20-1805-00-1037414-0-E,Gobierno Autonomo Municipal De Guayaramerin,Bienes,EM,"1ra Adquisicion De Emergencia De Equiposmedicos E Instrumental Menor Medico Para La Emergencia Sanitaria Para La Prevencion, Control Y Atencion Del Coronavirus En El Municipio De Guayaramerin Correspondiente A La Gestion 2020",Contratado,NA,NA,2020-03-23,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitivaActa o informe de recepcion definitivaActa o informe de recepcion definitivaActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Fabiola Aliaga Anara (Telf: 8553628),NA,NA,-,NA,2020-03-20,Beni,NB-SABS (D.S.0181),1,4110000,43400,"1RA ADQUISICION DE EMERGENCIA DE EQUIPOSMEDICOS E INSTRUMENTAL MENOR MEDICO PARA LA EMERGENCIA SANITARIA PARA LA PREVENCION, CONTROL Y ATENCION DEL CORONAVIRUS EN EL MUNICIPIO DE GUAYARAMERIN CORRESPO",GLOBAL,1,NA,NA,VARGAS CANO REYNALDO GASPAR,51300,51300,1,51300,51300,Contratado,Cronograma
coronavirus,20-1805-00-1037410-0-E,Gobierno Autonomo Municipal De Guayaramerin,Bienes,EM,"2da Adquisiscion De Emergencia De Equipos Medicos Para La Emergencia Sanitaria Para La Prevencion, Control Y Atencion Del Coronavirus En El Municipio De Guayaramerin Correspondiente A La Gestion 2020",Contratado,NA,NA,2020-03-23,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitivaActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Fabiola Aliaga Anara (Telf: 8553628),NA,NA,-,NA,2020-03-20,Beni,NB-SABS (D.S.0181),1,4214000,43400,"2DA ADQUISISCION DE EMERGENCIA DE EQUIPOS MEDICOS PARA LA EMERGENCIA SANITARIA PARA LA PREVENCION, CONTROL Y ATENCION DEL CORONAVIRUS EN EL MUNICIPIO DE GUAYARAMERIN CORRESPONDIENTE A LA GESTION 2020",GLOBAL,1,NA,NA,RAMIREZ ZAMBRANO RONY,98700,98700,1,98700,98700,Contratado,Cronograma
