cuce,numero,codigo_unspsc,objeto_de_gasto,descripcion_del_bien_o_servicio,unidad_de_medida,cantidad,precio_referencial_unitario,precio_referencial_total,nombre_o_razon_social_del_proponente_adjudicado,precio_unitario_adjudicado,total_adjudicado,cantidad_recepcionada,precio_unitario_real,monto_real_ejecutado,estado,cronograma
20-1312-00-1052600-0-E,8,5121000,34200,AGAR TSI FRASCO 500 GRAMOS,FRASCO,3,,,TERRATEC S.R.L.,575,1725,3,575,1725,Contratado,Cronograma
20-1312-00-1052600-0-E,9,5121000,34200,AGAR SIM FRASCO 500 GRAMOS,FRASCO,3,,,ORIENTE MARVI S.R.L.,920,2760,3,920,2760,Contratado,Cronograma
20-1312-00-1052600-0-E,10,5121000,34200,DISCO GENTAMICINA TUBO X50  120UG,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,Cronograma
20-1312-00-1052600-0-E,11,5121000,34200,AGAR MUELLER HINTON FRASCO 500 GRAMOS,FRASCO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,600,1800,3,600,1800,Contratado,Cronograma
20-1312-00-1052600-0-E,12,5121000,34200,AGAR NUTRITIVO FRASCO 500 GRAMOS,FRASCO,3,,,TERRATEC S.R.L.,805,2415,3,805,2415,Contratado,Cronograma
20-1312-00-1052600-0-E,13,5121000,34200,AGAR MIO FRASCO 500 GRAMOS,FRASCO,3,,,TERRATEC S.R.L.,1020,3060,3,1020,3060,Contratado,Cronograma
20-1312-00-1052600-0-E,14,5121000,34200,DISCO CLORANFENICOL TUBO X50  30UG,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,Cronograma
20-1312-00-1052600-0-E,15,5121000,34200,DISCO ERTAPENEM TUBO X50  10UG,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,Cronograma
20-1312-00-1052600-0-E,16,5121000,34200,DISCO áCIDO CLAVULANICO TUBO X50 10UG,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,Cronograma
20-1312-00-1052600-0-E,17,5121000,34200,DISCO AMIKACINA TUBO X50    30UG,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,Cronograma
20-1312-00-1052600-0-E,18,5121000,34200,AGAR CITRATO DE SIMMONS FRASCO 500 GRAMOS,FRASCO,3,,,TERRATEC S.R.L.,765,2295,3,765,2295,Contratado,Cronograma
20-1312-00-1052600-0-E,19,5121000,34200,HEMOCULTIVO PEDIáTRICO 20 ML,CAJA,30,,,ORIENTE MARVI S.R.L.,39,1170,30,39,1170,Contratado,Cronograma
20-1312-00-1052600-0-E,20,5121000,34200,DISCO POLIMIXINA B TUBO X50     300UL,TUBO,3,0,1,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,300.1,3200.1,9600.1,Contratado,
20-1312-00-1052600-0-E,21,5121000,34200,DISCO CEFTAZIDIMA TUBO X50    30UG,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,
20-1312-00-1052600-0-E,22,5121000,34200,DISCO ERITROMICINA TUBO X50  15UG,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,
20-1312-00-1052600-0-E,23,5121000,34200,DISCO CEFEPIME TUBO X50 30UG,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,
20-1312-00-1052600-0-E,24,5121000,34200,DISCO IMIPENEM TUBO X50 10UG,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,
20-1312-00-1052600-0-E,25,5121000,34200,AGAR CLED O CLDE FRASCO 500 GRAMOS,FRASCO,3,,,TERRATEC S.R.L.,605,1815,3,605,1815,Contratado,
20-1312-00-1052600-0-E,26,5121000,34200,HEMOCULTIVO ADULTOS CON RESINA 50 ML,CAJA,30,,,ORIENTE MARVI S.R.L.,46,1380,30,46,1380,Contratado,
20-1312-00-1052600-0-E,27,5121000,34200,DISCO CLINDAMICINA TUBO X50  2UG,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,
20-1312-00-1052600-0-E,28,5121000,34200,AGAR LISINA FRASCO 500 GRAMOS,FRASCO,3,,,TERRATEC S.R.L.,715,2145,3,715,2145,Contratado,
20-1312-00-1052600-0-E,29,5121000,34200,AGAR MAC CONKEY FRASCO 500 GRAMOS,FRASCO,3,,,TERRATEC S.R.L.,575,1725,3,575,1725,Contratado,
20-1312-00-1052600-0-E,30,5121000,34200,AGAR SS (SALMONELLA SHIGELLA) FRASCO 500 GRAMOS,FRASCO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,747,2241,3,747,2241,Contratado,
20-1312-00-1052600-0-E,31,5121000,34200,DISCO AMOXICILINA / AC. CLAVULANICO TUBO X50 20UG/10UG,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,
20-1312-00-1052600-0-E,32,5121000,34200,DISCO VANCOMICINA  TUBO X50    30UG,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,
20-1312-00-1052600-0-E,33,5121000,34200,DISCO AZITROMICINA TUBO X50    15UG,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,
20-1312-00-1052600-0-E,34,5121000,34200,AGAR BASE SANGRE DE PROCEDENCIA INGLESA FRASCO 500 GRAMOS,FRASCO,3,,,TERRATEC S.R.L.,560,1680,3,560,1680,Contratado,
20-1312-00-1052600-0-E,35,5121000,34200,DISCO ACIDO BORONICO PROCEDENCIA TUBO X 50 DISCOS,TUBO,3,,,ORIENTE MARVI S.R.L.,290,870,3,290,870,Contratado,
20-1312-00-1052600-0-E,36,5121000,34200,DISCO MEROPENEM TUBO X50  10UG,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,
20-1312-00-1052600-0-E,37,5121000,34200,DISCO NOVOBIOCINA TUBO X50  5UG,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,
20-1312-00-1052600-0-E,38,5121000,34200,AGAR FENILALANINA FRASCO 100 GRAMOS,FRASCO,3,,,ORIENTE MARVI S.R.L.,194,582,3,194,582,Contratado,
20-1312-00-1052600-0-E,39,5121000,34200,DISCO CEFAZOLINA TUBO X50     30UG,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,
20-1312-00-1052600-0-E,40,5121000,34200,DISCO GENTAMICINA TUBO X50  10UG,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,
20-1312-00-1052600-0-E,41,5121000,34200,CALDO TETRATIONATO FRASCO 500 GRAMOS,FRASCO,3,,,ORIENTE MARVI S.R.L.,493,1479,3,493,1479,Contratado,
20-1312-00-1052600-0-E,42,5121000,34200,DISCO NORFLOXACINA TUBO X50  10UG,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,
20-1312-00-1052600-0-E,43,5121000,34200,AGAR SABOURAUD GLUCOSADO SIN ANTIBIOTICOS FRASCO 500,FRASCO,3,,,ORIENTE MARVI S.R.L.,479,1437,3,479,1437,Contratado,
20-1312-00-1052600-0-E,44,5121000,34200,DISCO AMPICILINA TUBO X50    10UG,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,
20-1312-00-1052600-0-E,45,5121000,34200,HEMOCULTIVO NEONATAL 10 ML,CAJA,30,,,ORIENTE MARVI S.R.L.,22,660,30,22,660,Contratado,
20-1312-00-1052600-0-E,46,5121000,34200,AGAR MANITOL SALADO FRASCO 500 GRAMOS,FRASCO,3,,,TERRATEC S.R.L.,305,915,3,305,915,Contratado,
20-1312-00-1052600-0-E,47,5121000,34200,DISCO DE MINOCICLINA TUBO X50  30UG,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,
20-1312-00-1052600-0-E,48,5121000,34200,DISCO DE CEFTRIAXONA TUBO X50  30UG,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,
20-1312-00-1052600-0-E,49,5121000,34200,DISCO OPTOQUINA TUBO X50  30UG,TUBO,3,,,ORIENTE MARVI S.R.L.,82,246,3,82,246,Contratado,
20-1312-00-1052600-0-E,50,5121000,34200,DISCO LEVOFLOXACINA TUBO X50  5UG,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,
20-1312-00-1052600-0-E,51,5121000,34200,DISCO COLISTIN TUBO X50 10UG,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,
20-1312-00-1052600-0-E,52,5121000,34200,DISCO TETRACICLINA TUBO X50    30UG,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,
20-1312-00-1052600-0-E,53,5121000,34200,DISCO CEFOTAXIMA/ CLAVULANICO TUBO X50 30UG/10UG,TUBO,3,,,ORIENTE MARVI S.R.L.,35,105,3,35,105,Contratado,
20-1312-00-1052600-0-E,54,5121000,34200,DISCO CEFOXITINA TUBO X50    30UG,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,
20-1312-00-1052600-0-E,55,5121000,34200,DISCO CIPROFLOXACINA TUBO X50   5UG,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,
20-1312-00-1052600-0-E,56,5121000,34200,KOVAC  (INDOL)X 100 ML FRASCO X 100 ML,FRASCO,3,,,ORIENTE MARVI S.R.L.,503,1509,3,503,1509,Contratado,
20-1312-00-1052600-0-E,57,5121000,34200,DISCO CEFOTAXIMA TUBO X50     30UG,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,
20-1312-00-1052600-0-E,58,5121000,34200,DISCO CEFTAZIDIMA/CLAVULANIC O TUBO X50    30UG/10UG,TUBO,3,,,ORIENTE MARVI S.R.L.,35,105,3,35,105,Contratado,
20-1312-00-1052600-0-E,59,5121000,34200,DISCO AZTREONAM TUBO X50     30UG,3,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,
20-1312-00-1052600-0-E,60,5121000,34200,BAN CON UREA MEDIO (SUPLEMENTO DE AGAR UREA) FRASCO 500 GRAMOS,FRASCO,3,,,ORIENTE MARVI S.R.L.,1017,3051,3,1017,3051,Contratado,
20-1312-00-1052600-0-E,61,5121000,34200,DISCO OXIDASA TUBO X25,TUBO,3,,,ORIENTE MARVI S.R.L.,82,246,3,82,246,Contratado,
20-1312-00-1052600-0-E,62,5121000,34200,DISCO CEFUROXIMA TUBO X50    30UG,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,
20-1312-00-1052600-0-E,63,5121000,34200,DISCO NITROFURANTOINA TUBO X50     300UG,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,
20-1312-00-1052600-0-E,64,5121000,34200,"DISCO TRIMETROPRIM- SULFAMETOXAZOLE 1, 25/23, 75 UG TUBO X50 25UG",TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,
20-1312-00-1052600-0-E,65,5121000,34200,DISCO PENICILINA TUBO X50     10UL,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,
20-1312-00-1052600-0-E,66,5121000,34200,DISCO DE AMPICILINA + SULBACTAM TUBO X50,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,
20-1201-00-1046786-0-E,1,5121000,34200.0,MEDICAMENTOS EN PRESENTACION LIQUIDA- MIDAZOLAM (3ML) 5MG/ML AMPOLLA,INYECTA BLE,3000,,,COFARBOL LTDA,16.5,49500,,,,Contratado,Cronograma
21-0046-28-1162984-1-1,1,5120156,34200,Atlizumab o tocilizumab - TOCILIZUMAB 200 MG.,INYECTA BLE,4,3394,13576,,,,,,,Cancelado,Cronograma 0
21-0046-28-1162984-1-1,2,5134331,34200,Clorhidrato de memotina - FAVIPIRAVIR 200 MG.,COMPRI MIDO,700,35,24500,,,,700,34.5,24150,Contratado,Cronograma 0
21-0046-28-1162984-1-1,3,5134330,34200,Ácido Xenazoico - REMDESIVIR 100 MG.,INYECTA BLE,12,872,10464,,,,,,,Cancelado,Cronograma 0
21-0417-01-1128111-1-1,1,4213171,34200,Aislamiento quirúrgico o máscaras quirúrgicas - ADQUISICION 4430 PIEZAS BARBIJOS CON PROTECTORES FACIALES,PIEZAS,4430,112,49616,,,,4430,112,49616,Contratado,Cronograma 0
21-0203-00-1105524-1-1,1,8511000,25400,"Piso 5 de la Torre ""A"" del Condominio Torres del Poeta",SERVICI O,10,57000,57000,,,,10,3983,3983,Contratado,Cronograma 0
21-0203-00-1105524-1-1,2,8511000,25400,Segundo Piso del Edificio Anexo (Plaza Isabel La Católica N° 2507),SERVICI O,10,36000,36000,,,,10,2513,2513,Contratado,Cronograma 0
21-0203-00-1105524-1-1,3,8511000,25400,Inmueble Zona Sur (Calle Roberto Prudencio N° 222 entre calles 16 y 17 de Calacoto),SERVICI O,10,1090,1090,,,,10,1089,1089,Contratado,Cronograma 0
21-0203-00-1105524-1-1,4,8511000,25400,"Piso 3 del Edificio Gundlach (Calle Reyes Ortiz esq. Federico Zuazo, Torre Este)",SERVICI O,10,50000,50000,,,,10,3493,3493,Contratado,Cronograma 0
21-0203-00-1105524-1-1,5,8511000,25400,Tercer Piso del Edificio Central (Plaza Isabel La Católica N° 2507),SERVICI O,10,30000,30000,,,,10,2093,2093,Contratado,Cronograma 0
21-0203-00-1105524-1-1,6,8511000,25400,"Piso 4 de la Torre ""A"" del Condominio Torres del Poeta",SERVICI O,10,57000,57000,,,,10,3983,3983,Contratado,Cronograma 0
21-0203-00-1105524-1-1,7,8511000,25400,Planta Baja del Edificio Anexo (Plaza Isabel La Católica N° 2507),SERVICI O,10,36000,36000,,,,10,2513,2513,Contratado,Cronograma 0
21-0203-00-1105524-1-1,8,8511000,25400,Primer Piso del Edificio Anexo (Plaza Isabel La Católica N° 2507),SERVICI O,10,36000,36000,,,,10,2513,2513,Contratado,Cronograma 0
21-0203-00-1105524-1-1,9,8511000,25400,"Depósito de El Alto (Villa Bolivar D, Calle 132 N° 700 de la ciudad de El Alto)",SERVICI O,10,2500,2500,,,,10,2499,2499,Contratado,Cronograma 0
21-0203-00-1105524-1-1,10,8511000,25400,Centro de Consultas de la Ciudad de El Alto (Av. Ladislao Cabrera N° 16 cruce Villa Adela),SERVICI O,10,23000,23000,,,,10,22900,22900,Contratado,Cronograma 0
21-0203-00-1105524-1-1,11,8511000,25400,Sótano del Edificio Central (Plaza Isabel La Católica N° 2507),SERVICI O,10,30000,30000,,,,10,2093,2093,Contratado,Cronograma 0
21-0203-00-1105524-1-1,12,8511000,25400,Segundo Piso del Edificio Central (Plaza Isabel La Católica N° 2507),SERVICI O,10,30000,30000,,,,10,2093,2093,Contratado,Cronograma 0
21-0203-00-1105524-1-1,13,8511000,25400,Quinto Piso del Edificio Central (Plaza Isabel La,SERVICI O,10,30000,30000,,,,10,2093,2093,Contratado,Cronograma 0
21-0203-00-1105524-1-1,14,8511000,25400,Planta Baja del Edificio Central (Plaza Isabel La Católica N° 2507),SERVICI O,10,3000,3000,,,,10,2392,2392,Contratado,
21-0203-00-1105524-1-1,15,8511000,25400,"Piso 6 de la Torre ""A"" del Condominio Torres del Poeta",SERVICI O,10,5700,5700,,,,10,3983,3983,Contratado,
21-0203-00-1105524-1-1,16,8511000,25400,Primer Piso del Edificio Central (Plaza Isabel La Católica N° 2507),SERVICI O,10,3000,3000,,,,10,2093,2093,Contratado,
21-0203-00-1105524-1-1,17,8511000,25400,Cuarto Piso del Edificio Central (Plaza Isabel La Católica N° 2507),SERVICI O,10,3000,3000,,,,10,2093,2093,Contratado,
21-0203-00-1105524-1-1,18,8511000,25400,Tercer Piso del Edificio Anexo (Plaza Isabel La Católica N° 2507),SERVICI O,10,3600,3600,,,,10,2513,2513,Contratado,
21-0203-00-1105524-1-1,19,8511000.0,25400,"Centro de Consultas de la Ciudad de Oruro (Pasaje Guachalla, Edificio Cámara de Comercio, Piso 3, Oficina 307)",SERVICI O,10,1000,1000,,,,10,1875,1875,Contratado,
21-0203-00-1105524-1-1,20,8511000.0,25400,Oficina Regional de Cochabamba (Calle Colombia N° 364 casi Calle 25 de Mayo),SERVICI O,10,4200,4200,,,,10,1676,1676,Contratado,
21-0203-00-1105524-1-1,21,8511000,25400,"Oficina Departamental y Oficinas de la DCF en la ciudad de Santa Cruz (Av. Irala N° 585 PB Of 2, 3 y Piso 2 Of. 201, Primer",SERVICI O,10,92815,92815,,,,10,3712,3712,Contratado,
20-1404-00-1087548-1-1,1,4213000,34200,BARBIJO KN 95 CON CARBON ACTIVO,UNIDAD,3004,200,60080,,,,3004,180,54072,Contratado,Cronograma 0
20-1301-00-1052195-0-E,1,4618000,34200,BARBIJOS KN 95,UNIDAD,20000,,,PEREZ ZEGARRA CARLOS ANDRES,18.5,370000,20000,18.5,370000,Contratado,Cronograma
20-0902-01-1047718-0-E,1,4213000,34500,BARBIJOS DESCARTABLES,PIEZAS,16650,,,HERRACRUZ S.A.,3,49950,16650,3,49950,Contratado,Cronograma
21-0417-07-1115820-1-1,1,4112000,34200,PRUEBA DE DIAGNOSTICO INMUNOLOGICO (PRUEBA RAPIDA) COVID-19 SERVICIO DE LABORATORIO CNS DISTRITAL RIBERALTA,PIEZA,1110,45,49950,,,,1110,34,37740,Contratado,Cronograma 0
20-0901-02-1097096-1-1,1,4213000,34200,MAMELUCOS DESCARTABLES,GLOBAL,994,99,98406,,,,994,99,98406,Contratado,Cronograma 0
21-0418-02-1186927-1-1,1,1214190,34200,Nitrógeno n - Nitrógeno Gas Medicinal,metro cubico,19200,180,3456,PRAXAIR BOLIVIA S.R.L.,180,3456,,,,Contratado,Cronograma 0
21-0418-02-1186927-1-1,2,1214210,34200,Gas dióxido de carbono - Gas Carbónico Medicinal,kg,60000,180,10800,PRAXAIR BOLIVIA S.R.L.,180,10800,,,,Contratado,Cronograma 0
21-0418-02-1186927-1-1,3,1214190,34200,Oxígeno o - Oxigeno Gas Medicinal,metro cubico,3960,180,71280,PRAXAIR BOLIVIA S.R.L.,180,71280,,,,Contratado,Cronograma 0
21-0418-02-1186927-1-1,4,1214190,34200,Nitrógeno n - Nitrógeno Líquido Medicinal,kg,36000,180,6480,PRAXAIR BOLIVIA S.R.L.,180,6480,,,,Contratado,Cronograma 0
21-0418-02-1186927-1-1,5,1214210,34200,Aire industrial - Aire Gas Medicinal,metro cubico,3050,180,54900,PRAXAIR BOLIVIA S.R.L.,180,54900,,,,Contratado,Cronograma 0
21-0418-02-1186927-1-1,6,1214200,34200,Gas argón ar - Argón Gas Medicinal,metro cubico,400,2060,82400,PRAXAIR BOLIVIA S.R.L.,2060,82400,,,,Contratado,Cronograma 0
21-0418-02-1186927-1-1,7,1214190,34200,Oxígeno o - Oxigeno Liquido Medicinal,kg,22300,1357,302611,PRAXAIR BOLIVIA S.R.L.,1357,302611,,,,Contratado,Cronograma 0
20-1115-00-1080963-1-1,1,7210000,24110,Readecuacion Ambientes Morgue Y Deposito Rges Para Pacientes Covid,GLOBAL,1,49999.94,49999.94,,,,1,49999.94,49999.94,Contratado,Cronograma 0
20-0203-00-1040738-0-E,1,4411000,34500,MAMPARA DE PROTECCION DE ACRILICO DE 0.85 METROS DE ALTO,PIEZA,3,,,ACERO TARQUI PASCUAL,990,2970,3,990,2970,Contratado,Cronograma
20-0203-00-1040738-0-E,2,3020000,34500,CAMARA DE DESINFECCION CON TANQUE DE 100 LITROS,PIEZA,2,,,ACERO TARQUI PASCUAL,5100,10200,2,5100,10200,Contratado,Cronograma
20-0203-00-1040738-0-E,3,3020000,34500,CAMARA DE DESINFECCION CON TANQUE DE 50 LITROS,PIEZA,2,,,ACERO TARQUI PASCUAL,4750,9500,2,4750,9500,Contratado,Cronograma
20-0203-00-1040738-0-E,4,4411000,34500,MAMPARA DE PROTECCION DE ACRILICO DE 0.50 METROS DE ALTO,PIEZA,30,,,ACERO TARQUI PASCUAL,520,15600,30,520,15600,Contratado,Cronograma
20-1312-00-1041320-0-E,1,4218000,34200,"PLACA DE RAYOS X DIGITAL, TAMAñO 14X17 PULGADAS (35X43) PRESENTACION EN CAJA DE 100 HOJAS",CAJA,15,,,VELIZ GUZMAN ISAIAS,2450,36750,15,2450,36750,Contratado,Cronograma
20-1312-00-1041320-0-E,2,4218000,34200,"PLACA DE RAYOS X DIGITAL, TAMAñO 8X10 PULGADAS (20X25) PRESENTACION EN CAJA DE 100 HOJAS",CAJA,8,,,VELIZ GUZMAN ISAIAS,1550,12400,8,1550,12400,Contratado,Cronograma
20-1301-00-1057932-1-1,1,4618000,34200,BARBIJOS DESECHABLES 50 UNIDADES,CAJA,1250,800,100000,MILCAR SRL,395,49375,1250,395,49375,Contratado,Cronograma 0
20-1272-00-1042495-0-E,1,4213000,33300,PRENDAS DE VESTIR,GLOBAL,1,,,AYALA GARNICA JAVIER,4006,4006,1,4006,4006,Contratado,Cronograma
20-1272-00-1042495-0-E,2,4213000,39100,MATERIAL DE LIMPIEZA E HIGIENE,GLOBAL,1,,,AYALA GARNICA JAVIER,13146,13146,1,13146,13146,Contratado,Cronograma
20-1272-00-1042495-0-E,3,4213000,39990,OTROS MATERAILES Y SUMINISTROS,GLOBAL,1,,,AYALA GARNICA JAVIER,2160,2160,1,2160,2160,Contratado,Cronograma
20-1272-00-1042495-0-E,4,4213000,39400,INSTRUMENTAL MENOR MENOR MEDICO QUIRURGICO,GLOBAL,1,,,AYALA GARNICA JAVIER,17450,17450,1,17450,17450,Contratado,Cronograma
20-1272-00-1042495-0-E,5,4213000,33400,CALZADOS,GLOBAL,1,,,AYALA GARNICA JAVIER,1995,1995,1,1995,1995,Contratado,Cronograma
20-1109-00-1053980-1-1,1,7210000,42230,REFACCIÓN CENTRO PALEOMTOLÓGICO PARA ATENCIÓN COVID-19,1,1,199175.53,199175.53,CHUMACERO CORS OMAR,197880.99,197880.99,1,197880.99,197880.99,Contratado,Cronograma 0
21-0423-00-1157062-1-1,1,4111620,43400,Kits de pruebas rápidas - COMPRA DE PRUEBAS RAPIDA COVID - 19 AG ANTIGENO,UNIDAD,2000,280,56000,INSUMOS DE VIDA S.R.L.,278,55600,2000,278,55600,Contratado,Cronograma 0
20-1215-00-1050547-0-E,1,4112000,33300,RESPIRADORES N-95,PIEZA,250,,,SALVATIERRA LOAIZA UVERLINDA,160,40000,250,160,40000,Contratado,Cronograma
20-1215-00-1050547-0-E,2,4229000,39400,COBERTORES DE CALZADOS,PAR,250,,,SALVATIERRA LOAIZA UVERLINDA,8,2000,250,8,2000,Contratado,Cronograma
20-1215-00-1050547-0-E,3,4229000,39400,GUANTES DEDILES,CAJA,250,,,SALVATIERRA LOAIZA UVERLINDA,85,21250,250,85,21250,Contratado,Cronograma
20-1215-00-1050547-0-E,4,4229000,39400,GORROS DESCARTABLES,CAJA,10,,,SALVATIERRA LOAIZA UVERLINDA,170,1700,10,170,1700,Contratado,Cronograma
20-1215-00-1050547-0-E,5,4713000,34500,ATOMIZADORES,PIEZA,30,,,SALVATIERRA LOAIZA UVERLINDA,80,2400,30,80,2400,Contratado,Cronograma
20-1215-00-1050547-0-E,6,4229000,39400,GUANTES DE NITRILO,CAJA,250,,,SALVATIERRA LOAIZA UVERLINDA,180,45000,250,180,45000,Contratado,Cronograma
20-1215-00-1050547-0-E,7,4112000,33300,LENTES DE SEGURIDAD ANTI EMPAÑANTE,PIEZA,250,,,SALVATIERRA LOAIZA UVERLINDA,200,50000,250,200,50000,Contratado,Cronograma
20-1215-00-1050547-0-E,8,4112000,39400,TERMOS PARA LLEVAR MUESTRAS,PIEZA,4,,,SALVATIERRA LOAIZA UVERLINDA,3500,14000,4,3500,14000,Contratado,Cronograma
