cuce,tipo_a,monto_a,tipo_b,monto_b,tipo_c,monto_c
20-1109-00-1053980-1-1,Total Referencial:,199175.53,Total Adjudicado:,197880.99,Total Recepcionado:,197880.99
21-0423-00-1157062-1-1,Total Referencial:,56000,Total Adjudicado:,55600,Total Recepcionado:,55600
20-1215-00-1050547-0-E,Total Adjudicado:,425350,Total Recepcionado:,425350,,
20-1347-00-1080799-1-1,Total Referencial:,60125,Total Adjudicado:,59884.5,Total Recepcionado:,59884.5
20-1404-00-1044385-0-E,Total Adjudicado:,47600,Total Recepcionado:,47600,,
20-0902-21-1046215-0-E,Total Adjudicado:,49250,Total Recepcionado:,49250,,
21-1335-00-1142412-1-1,Total Referencial:,49055,Total Recepcionado:,49010,,
20-1205-00-1088530-1-1,Total Referencial:,175770,Total Recepcionado:,175770,,
20-0902-01-1041271-1-1,Total Referencial:,180236,Total Adjudicado:,180236,Total Recepcionado:,180236
20-1604-00-1092532-1-1,Total Referencial:,107822,Total Recepcionado:,47784,,
19-0417-03-1039991-0-E,Total Adjudicado:,49780,Total Recepcionado:,49780,,
20-1260-00-1039322-0-E,Total Adjudicado:,32895.8,Total Recepcionado:,32895.8,,
20-1523-00-1086762-1-1,Total Referencial:,204830,Total Adjudicado:,178960,Total Recepcionado:,197560
21-1701-00-1122241-1-1,Total Referencial:,288680,Total Adjudicado:,229500.6,Total Recepcionado:,229500.6
20-1328-00-1062783-1-1,Total Referencial:,120000,Total Adjudicado:,95390.5,Total Recepcionado:,95390.5
20-1208-00-1089519-1-1,Total Referencial:,433100,Total Adjudicado:,430570,Total Recepcionado:,430570
20-0905-00-1043488-0-E,Total Adjudicado:,352263,Total Recepcionado:,352263,,
20-0781-00-1065082-1-1,Total Referencial:,607169.16,Total Adjudicado:,95333.76,Total Recepcionado:,95333.76
20-1316-00-1055996-1-1,Total Referencial:,199989.66,Total Adjudicado:,84946.16,Total Recepcionado:,84946.16
20-0417-05-1068544-1-1,Total Referencial:,185600,Total Adjudicado:,185600,Total Recepcionado:,185600
20-0417-09-1073662-1-2,Total Referencial:,1000000,Total Adjudicado:,990000,Total Recepcionado:,990000
20-1211-00-1050253-0-E,Total Adjudicado:,178120,,,,
20-0417-02-1049425-0-E,Total Adjudicado:,46486.24,Total Recepcionado:,46486.24,,
20-0147-00-1086393-1-1,Total Referencial:,3857,Total Adjudicado:,3857,Total Recepcionado:,3857
20-0147-00-1086393-1-1,Total Referencial:,24717,Total Adjudicado:,23317,Total Recepcionado:,23317
20-0147-00-1086393-1-1,Total Referencial:,301570,Total Adjudicado:,,,
20-0147-00-1086393-1-1,Total Referencial:,54425,Total Adjudicado:,,,
20-0147-00-1086393-1-1,Total Referencial:,54496.89,Total Adjudicado:,,,
20-1228-00-1086369-1-1,Total Referencial:,49934.92,Total Recepcionado:,49934.92,,
20-1508-00-1044027-0-E,Total Adjudicado:,20140,Total Recepcionado:,20140,,
21-0513-00-1152517-1-1,Total Referencial:,51008,Total Adjudicado:,17425,Total Recepcionado:,17425
20-0903-00-1043530-0-E,Total Adjudicado:,77256,,,,
21-0417-09-1107924-1-1,Total Referencial:,999900,Total Adjudicado:,999900,Total Recepcionado:,999900
20-0046-28-1051122-0-E,Total Adjudicado:,800000,Total Recepcionado:,800000,,
20-0901-02-1047799-0-E,Total Adjudicado:,801150,Total Recepcionado:,801150,,
20-1604-00-1046754-0-E,Total Adjudicado:,28500,,,,
20-1201-00-1039527-0-E,Total Adjudicado:,233298,Total Recepcionado:,233298,,
20-1201-00-1052612-0-E,Total Adjudicado:,49986,,,,
20-1701-00-1042311-0-E,Total Adjudicado:,57000,Total Recepcionado:,57000,,
20-1260-00-1038273-0-E,Total Adjudicado:,32197.8,Total Recepcionado:,32197.8,,
20-0418-03-1045659-0-E,Total Adjudicado:,36000,Total Recepcionado:,36000,,
21-0086-00-1112961-1-1,Total Referencial:,21100,Total Recepcionado:,16500,,
20-1201-00-1050637-0-E,Total Adjudicado:,50000,Total Recepcionado:,50000,,
20-1201-00-1086086-1-1,Total Referencial:,50000,Total Recepcionado:,50000,,
20-1206-00-1040264-0-E,Total Adjudicado:,42720,Total Recepcionado:,42720,,
20-0902-40-1099465-1-1,Total Referencial:,45000,Total Recepcionado:,45000,,
20-1312-00-1097726-1-1,Total Referencial:,45207,Total Recepcionado:,45207,,
20-1749-00-1083520-1-1,Total Referencial:,56700,Total Recepcionado:,56700,,
20-0902-40-1099475-1-1,Total Referencial:,45000,Total Recepcionado:,45000,,
21-0138-00-1126206-1-1,Total Referencial:,49500,Total Recepcionado:,49500,,
21-0142-00-1151480-1-1,Total Referencial:,50000,Total Recepcionado:,32000,,
20-1519-00-1051948-0-E,Total Adjudicado:,22500,Total Recepcionado:,22500,,
20-1731-00-1098806-1-1,Total Referencial:,47100,Total Recepcionado:,33000,,
20-1279-00-1044013-0-E,Total Adjudicado:,39850,Total Recepcionado:,39850,,
20-0015-01-1055801-2-1,Total Referencial:,105000,Total Adjudicado:,104300,Total Recepcionado:,104300
20-0781-00-1082240-1-1,Total Referencial:,58000,Total Adjudicado:,49800,Total Recepcionado:,49800
20-0906-03-1038824-0-E,Total Adjudicado:,44760,Total Recepcionado:,44760,,
20-1604-00-1044713-0-E,Total Adjudicado:,285004,Total Recepcionado:,285004,,
21-0423-00-1148355-1-1,Total Referencial:,40500,Total Recepcionado:,34500,,
21-1501-00-1165931-1-1,Total Referencial:,27570,Total Recepcionado:,20179,,
21-1302-00-1118238-1-1,Total Referencial:,45132.5,Total Recepcionado:,44585,,
21-0417-06-1121527-1-1,Total Referencial:,49500,Total Recepcionado:,46090,,
20-1315-00-1049247-0-E,Total Adjudicado:,45000,,,,
20-1303-00-1047204-0-E,Total Adjudicado:,49980,Total Recepcionado:,49980,,
20-1604-00-1043078-0-E,Total Adjudicado:,67320,,,,
21-1205-00-1172256-1-1,Total Referencial:,49575,Total Recepcionado:,18375,,
20-1521-00-1049272-0-E,Total Adjudicado:,45000,Total Recepcionado:,45000,,
20-0411-00-1076866-1-1,Total Referencial:,9500000,Total Recepcionado:,9500000,,
20-1604-00-1039720-0-E,Total Adjudicado:,400000,,,,
20-0903-00-1038476-0-E,Total Adjudicado:,30000,Total Recepcionado:,30000,,
20-0138-00-1077481-1-2,Total Referencial:,156000,Total Adjudicado:,74880,Total Recepcionado:,74880
20-1280-00-1047959-0-E,Total Adjudicado:,42700,Total Recepcionado:,42700,,
20-1306-00-1056240-1-1,Total Referencial:,275000,Total Adjudicado:,271500,Total Recepcionado:,271500
21-1201-00-1176460-1-1,Total Referencial:,45000,Total Recepcionado:,45000,,
20-1342-00-1088324-1-1,Total Referencial:,40900,Total Recepcionado:,40900,,
21-0417-06-1143362-1-1,Total Referencial:,25200,Total Recepcionado:,23940,,
20-1215-00-1050525-0-E,Total Adjudicado:,204000,Total Recepcionado:,204000,,
21-0417-06-1158825-1-1,Total Referencial:,175000,Total Adjudicado:,140000,Total Recepcionado:,140000
20-0411-00-1042017-0-E,Total Adjudicado:,206250,Total Recepcionado:,206250,,
20-1507-00-1062643-1-1,Total Referencial:,125108,Total Adjudicado:,53295,Total Recepcionado:,53295
21-0905-00-1162497-1-1,Total Referencial:,18000000,Total Adjudicado:,17987543.19,,
21-0903-00-1163718-1-1,Total Referencial:,169282,Total Adjudicado:,169282,Total Recepcionado:,169282
20-1266-00-1092098-1-1,Total Referencial:,49500,Total Recepcionado:,28000,,
20-0417-09-1076608-1-1,Total Referencial:,234708,Total Adjudicado:,234708,Total Recepcionado:,234708
20-1807-00-1094652-1-1,Total Referencial:,20800,Total Recepcionado:,7992,,
20-1206-00-1094070-1-1,Total Referencial:,47000,Total Recepcionado:,47000,,
21-0417-09-1127359-1-1,Total Referencial:,294098,Total Adjudicado:,288096,Total Recepcionado:,288096
20-1507-00-1050563-0-E,Total Adjudicado:,42050,Total Recepcionado:,42050,,
21-1101-00-1141465-1-1,Total Referencial:,50000,Total Recepcionado:,50000,,
20-0902-39-1097233-1-1,Total Referencial:,36000,Total Recepcionado:,36000,,
21-2337-00-1140345-1-1,Total Referencial:,,,,,
21-2337-00-1140345-1-1,Total Recepcionado:,,,,,
20-1734-00-1094174-2-1,Total Referencial:,200000,Total Adjudicado:,196800,Total Recepcionado:,196800
21-1347-00-1107313-1-1,Total Referencial:,36377,Total Recepcionado:,34782,,
20-0902-43-1041459-0-E,Total Adjudicado:,34305,Total Recepcionado:,34305,,
20-0417-01-1088584-1-1,Total Referencial:,98000,Total Recepcionado:,41475,,
20-1810-00-1046870-0-E,Total Adjudicado:,33000,Total Recepcionado:,33000,,
21-1328-00-1119859-1-1,Total Referencial:,31800,Total Recepcionado:,23316,,
20-1905-00-1038031-0-E,Total Adjudicado:,88590,,,,
21-1601-00-1149513-1-1,Total Referencial:,50000,Total Recepcionado:,26250,,
20-1734-00-1048310-0-E,Total Adjudicado:,103500,Total Recepcionado:,103500,,
21-1519-00-1109664-1-1,Total Referencial:,49500,Total Recepcionado:,34650,,
20-1501-00-1052139-0-E,Total Adjudicado:,49985,,,,
21-1201-14-1131961-1-1,Total Referencial:,,,,,
21-1201-14-1131961-1-1,Total Recepcionado:,,,,,
20-0417-01-1052230-0-E,Total Adjudicado:,40000,Total Recepcionado:,40000,,
20-1301-00-1051544-0-E,Total Adjudicado:,90840,,,,
20-0903-00-1039247-0-E,Total Adjudicado:,174864,Total Recepcionado:,174864,,
21-0418-10-1185617-2-1,Total Referencial:,59700,Total Adjudicado:,57914,,
20-1204-00-1046102-0-E,Total Adjudicado:,49443,Total Recepcionado:,49443,,
21-0907-00-1118456-1-1,Total Referencial:,205000,Total Adjudicado:,188600,Total Recepcionado:,188600
20-1734-00-1094190-2-1,Total Referencial:,200000,Total Adjudicado:,196800,Total Recepcionado:,196800
20-1312-00-1048707-0-E,Total Adjudicado:,60060,Total Recepcionado:,60060,,
20-0411-00-1090125-1-1,Total Referencial:,27000,Total Recepcionado:,22500,,
21-0145-00-1130565-1-1,Total Referencial:,225750,Total Adjudicado:,103200,Total Recepcionado:,103200
20-0139-00-1057480-1-1,Total Referencial:,350000,Total Adjudicado:,289000,Total Recepcionado:,289000
20-1201-18-1040587-0-E,Total Adjudicado:,171000,Total Recepcionado:,171000,,
21-0417-09-1174091-2-1,Total Referencial:,360000,Total Adjudicado:,356000,,
20-1604-00-1039050-0-E,Total Adjudicado:,199970,Total Recepcionado:,199970,,
20-1201-00-1045149-0-E,Total Adjudicado:,24000,Total Recepcionado:,24000,,
21-0513-00-1146338-1-1,Total Referencial:,188520,Total Adjudicado:,129690,Total Recepcionado:,129690
21-1335-00-1112650-1-1,Total Referencial:,49500,Total Recepcionado:,37125,,
21-0901-02-1146681-1-2,Total Referencial:,102900,Total Recepcionado:,92400,,
20-0902-00-1041495-0-E,Total Adjudicado:,112000,,,,
20-0046-22-1044373-0-E,Total Adjudicado:,57400,Total Recepcionado:,57400,,
20-1220-00-1039407-0-E,Total Adjudicado:,398112,Total Recepcionado:,398112,,
20-0435-00-1043192-0-E,Total Adjudicado:,50000,Total Recepcionado:,50000,,
20-0902-43-1038906-0-E,Total Adjudicado:,44812.8,Total Recepcionado:,44812.8,,
20-1345-00-1065630-2-1,Total Referencial:,1200120,Total Adjudicado:,1196424,Total Recepcionado:,1196424
21-0903-00-1183714-1-1,Total Referencial:,23410,Total Recepcionado:,23410,,
20-1428-00-1096738-1-1,Total Referencial:,110000,Total Recepcionado:,109500,,
20-0046-00-1089667-1-1,Total Referencial:,48100,Total Recepcionado:,48100,,
20-1320-00-1046198-0-E,Total Adjudicado:,71500,Total Recepcionado:,71500,,
21-0417-05-1168635-1-1,Total Referencial:,70000,Total Adjudicado:,41250,Total Recepcionado:,41250
21-0906-03-1139925-1-1,Total Referencial:,50000,Total Recepcionado:,50000,,
21-0417-09-1140931-1-1,Total Referencial:,66400,Total Adjudicado:,66400,Total Recepcionado:,66400
21-0046-22-1151621-1-1,Total Referencial:,47866.7,Total Recepcionado:,47866.7,,
20-0909-00-1038632-0-E,Total Adjudicado:,600000,Total Recepcionado:,600000,,
20-0660-13-1040967-0-E,Total Adjudicado:,21987,Total Recepcionado:,21987,,
20-1605-00-1041318-0-E,Total Adjudicado:,49200,Total Recepcionado:,49200,,
21-1302-00-1109815-1-1,Total Referencial:,49999.1,Total Recepcionado:,49049.75,,
20-1301-00-1100618-1-1,Total Referencial:,101581.05,Total Recepcionado:,101581.05,,
20-1301-00-1042698-0-E,Total Adjudicado:,40000,Total Recepcionado:,40000,,
20-1201-00-1090316-1-1,Total Referencial:,49950,Total Recepcionado:,49950,,
21-0046-37-1122906-1-2,Total Referencial:,583981,Total Adjudicado:,572200,Total Recepcionado:,572200
20-0905-00-1050320-0-E,Total Adjudicado:,275184,,,,
20-1301-00-1044853-0-E,Total Adjudicado:,46012,,,,
21-0417-06-1120950-1-1,Total Referencial:,48779,Total Recepcionado:,48779,,
20-1434-00-1100781-1-1,Total Referencial:,40500,Total Recepcionado:,40500,,
21-0025-00-1163790-1-1,Total Referencial:,40000,Total Recepcionado:,40000,,
20-1410-00-1070837-2-1,Total Referencial:,350000,Total Adjudicado:,347700,Total Recepcionado:,347700
20-1734-00-1046540-0-E,Total Adjudicado:,23200,Total Recepcionado:,23200,,
21-1201-00-1174053-1-1,Total Referencial:,30788,Total Recepcionado:,18440,,
20-0417-05-1040250-0-E,Total Adjudicado:,24640,Total Recepcionado:,24640,,
20-0909-00-1039136-0-E,Total Adjudicado:,76240,Total Recepcionado:,76240,,
21-1325-00-1184876-1-1,Total Referencial:,146142,Total Adjudicado:,143484,Total Recepcionado:,143484
21-1301-00-1137297-1-1,Total Referencial:,49986,Total Recepcionado:,26381.5,,
20-1301-00-1095178-1-1,Total Referencial:,71520,Total Recepcionado:,38024.8,,
20-1301-00-1090654-1-1,Total Referencial:,1260000,Total Recepcionado:,780000,,
21-0902-43-1163069-2-1,Total Referencial:,142560,Total Adjudicado:,142553.97999999998,Total Recepcionado:,142553.97999999998
20-0903-00-1090118-1-1,Total Referencial:,48000,Total Recepcionado:,48000,,
21-0046-26-1168121-1-1,Total Referencial:,50000,Total Recepcionado:,44800,,
20-0418-07-1042253-0-E,Total Adjudicado:,220740,Total Recepcionado:,220740,,
20-1401-00-1048070-0-E,Total Adjudicado:,47850,Total Recepcionado:,47850,,
21-0145-00-1139544-1-1,Total Referencial:,167700,Total Adjudicado:,164991,Total Recepcionado:,164991
21-1201-00-1174021-1-1,Total Referencial:,49350,Total Recepcionado:,35700,,
21-1101-00-1176644-1-1,Total Referencial:,49999.59,Total Recepcionado:,39999,,
21-1412-00-1183521-1-1,Total Referencial:,56000,Total Adjudicado:,56000,Total Recepcionado:,56000
20-1122-00-1094112-1-1,Total Referencial:,26950,Total Recepcionado:,26950,,
20-1610-00-1038456-0-E,Total Adjudicado:,45500,Total Recepcionado:,45500,,
20-1604-00-1042682-0-E,Total Adjudicado:,684723,,,,
20-1711-00-1048569-0-E,Total Adjudicado:,47550,Total Recepcionado:,47550,,
20-0417-09-1047028-0-E,Total Adjudicado:,50000,Total Recepcionado:,50000,,
20-0902-42-1088572-1-1,Total Referencial:,43000,Total Recepcionado:,27000,,
20-1206-00-1091679-1-1,Total Referencial:,56500,Total Recepcionado:,56500,,
20-0139-00-1083382-1-1,Total Referencial:,42000,Total Recepcionado:,42000,,
20-1201-00-1088269-1-1,Total Referencial:,49954.8,Total Recepcionado:,49954.8,,
20-1734-00-1094208-1-1,Total Referencial:,200000,Total Adjudicado:,199872,Total Recepcionado:,199872
20-0417-06-1075234-1-1,Total Referencial:,102680,Total Adjudicado:,102680,Total Recepcionado:,102680
20-1601-00-1098779-1-1,Total Referencial:,29000,Total Recepcionado:,28500,,
20-1312-00-1049624-0-E,Total Adjudicado:,41520,Total Recepcionado:,41520,,
20-1201-00-1048385-0-E,Total Adjudicado:,49720,,,,
20-1519-00-1044092-0-E,Total Adjudicado:,22000,Total Recepcionado:,22000,,
20-0417-07-1083841-1-1,Total Referencial:,30000,Total Recepcionado:,30000,,
20-1260-00-1043114-0-E,Total Adjudicado:,49950,Total Recepcionado:,49950,,
20-0906-00-1041232-0-E,Total Adjudicado:,225000,Total Recepcionado:,225000,,
20-1324-00-1043951-0-E,Total Adjudicado:,27090,Total Recepcionado:,27090,,
21-0906-03-1154766-1-1,Total Referencial:,50000,Total Recepcionado:,50000,,
20-1406-00-1074661-1-1,Total Referencial:,36750,Total Recepcionado:,30160,,
21-1702-00-1161771-1-1,Total Referencial:,50000,Total Recepcionado:,50000,,
21-0903-00-1182439-1-1,Total Referencial:,49993.86,Total Recepcionado:,49993.86,,
20-1324-00-1083134-1-1,Total Referencial:,63500,Total Recepcionado:,50050,,
20-0417-02-1041801-0-E,Total Adjudicado:,30680,Total Recepcionado:,30680,,
21-1325-00-1179450-1-1,Total Referencial:,177037.2,Total Adjudicado:,105353.5,Total Recepcionado:,105353.5
20-1329-00-1077246-1-1,Total Referencial:,457388.89,Total Recepcionado:,457388.89,,
20-1303-00-1040438-0-E,Total Adjudicado:,41675,Total Recepcionado:,41675,,
20-1301-00-1044744-0-E,Total Adjudicado:,27360,,,,
20-1529-00-1089227-1-1,Total Referencial:,311095,Total Adjudicado:,281721,Total Recepcionado:,281721
20-0902-01-1047694-0-E,Total Adjudicado:,49980,Total Recepcionado:,49980,,
21-1228-00-1115799-1-1,Total Referencial:,48939.09,Total Recepcionado:,48939.09,,
20-0901-00-1083913-1-1,Total Referencial:,999810,Total Adjudicado:,966006.9,Total Recepcionado:,966006.9
21-0417-04-1149828-1-1,Total Referencial:,49883.32,Total Recepcionado:,49883.32,,
20-1334-00-1057982-2-1,Total Referencial:,73600,Total Adjudicado:,14400,Total Recepcionado:,14400
20-1206-00-1040229-0-E,Total Adjudicado:,44000,Total Recepcionado:,44000,,
21-0423-00-1151970-1-1,Total Referencial:,30398,Total Recepcionado:,30348.4,,
21-1601-00-1112057-1-1,Total Referencial:,49500,Total Recepcionado:,36000,,
21-0417-06-1153532-2-1,Total Referencial:,115000,Total Adjudicado:,97000,Total Recepcionado:,97000
20-4601-00-1043059-0-E,Total Adjudicado:,49392,Total Recepcionado:,49392,,
20-0417-05-1043089-0-E,Total Adjudicado:,48000,Total Recepcionado:,48000,,
20-1245-00-1100344-1-1,Total Referencial:,44151.729999999996,Total Recepcionado:,44151.729999999996,,
21-0907-00-1179481-1-1,Total Referencial:,37000,Total Recepcionado:,37000,,
20-1118-00-1086314-2-1,Total Referencial:,86755,Total Adjudicado:,86138,Total Recepcionado:,86138
20-0417-09-1044786-0-E,Total Adjudicado:,49000,,,,
20-1206-00-1050987-0-E,Total Adjudicado:,31500,Total Recepcionado:,31500,,
20-0660-10-1083671-1-1,Total Referencial:,44835,Total Recepcionado:,44835,,
20-1606-00-1039577-0-E,Total Adjudicado:,106795,Total Recepcionado:,106795,,
20-0903-00-1052136-0-E,Total Adjudicado:,17800,Total Recepcionado:,17800,,
21-1334-00-1140888-1-1,Total Referencial:,46922,Total Recepcionado:,35250,,
21-0411-00-1115916-1-1,Total Referencial:,997570,Total Adjudicado:,374000,Total Recepcionado:,374000
20-1279-00-1101699-1-1,Total Referencial:,36458.5,Total Recepcionado:,36458.5,,
20-0660-11-1051869-0-E,Total Adjudicado:,22225.5,Total Recepcionado:,22225.5,,
20-1262-00-1046432-0-E,Total Adjudicado:,182084,Total Recepcionado:,182084,,
21-0147-00-1131746-1-1,Total Referencial:,356880.19,Total Adjudicado:,203050,Total Recepcionado:,203050
20-1328-00-1067585-1-1,Total Referencial:,355620.59,Total Adjudicado:,324003.87,Total Recepcionado:,324003.87
20-4601-00-1038033-0-E,Total Adjudicado:,50000,Total Recepcionado:,50000,,
20-1734-00-1094158-1-1,Total Referencial:,200000,Total Adjudicado:,199872,Total Recepcionado:,199872
20-0015-22-1050912-0-E,Total Adjudicado:,30800,Total Recepcionado:,30800,,
20-1316-00-1066156-1-1,Total Referencial:,200000,Total Adjudicado:,198985.15,Total Recepcionado:,198985.15
20-4601-03-1050488-0-E,Total Adjudicado:,36000,Total Recepcionado:,36000,,
20-1905-00-1052444-0-E,Total Adjudicado:,120000,,,,
20-1316-00-1083596-1-1,Total Referencial:,11914,Total Adjudicado:,,,
20-1316-00-1083596-1-1,Total Referencial:,5000,,,,
20-1316-00-1083596-1-1,Total Referencial:,47600,Total Adjudicado:,40936,Total Recepcionado:,40936
20-1218-00-1092927-1-1,Total Referencial:,29643,Total Recepcionado:,29643,,
20-1430-00-1097794-1-1,Total Referencial:,22256,Total Recepcionado:,21980,,
20-0046-26-1046087-0-E,Total Adjudicado:,25200,,,,
20-1306-00-1050446-0-E,Total Adjudicado:,40351,Total Recepcionado:,40351,,
20-1236-00-1046189-0-E,Total Adjudicado:,32451,Total Recepcionado:,32451,,
20-0417-01-1081964-1-1,Total Referencial:,36890,Total Recepcionado:,32050,,
21-0046-00-1156758-1-1,Total Referencial:,49500,Total Recepcionado:,49500,,
20-1701-00-1042995-0-E,Total Adjudicado:,738708.8300000001,Total Recepcionado:,738708.8300000001,,
20-0905-01-1054641-1-2,Total Referencial:,81050,Total Adjudicado:,16210,Total Recepcionado:,9401.8
20-1245-00-1101223-1-1,Total Referencial:,86653.67000000001,Total Recepcionado:,86653.67000000001,,
21-0951-00-1146391-1-1,Total Referencial:,,,,,
21-0951-00-1146391-1-1,Total Recepcionado:,,,,,
20-1701-00-1098119-1-1,Total Referencial:,49980,Total Recepcionado:,49980,,
20-0417-06-1077227-1-1,Total Referencial:,37600,Total Recepcionado:,37600,,
21-1534-00-1165898-1-1,Total Referencial:,32116,Total Recepcionado:,25206,,
20-0046-10-1037510-0-E,Total Adjudicado:,42000,Total Recepcionado:,42000,,
21-0411-00-1138545-1-1,Total Referencial:,22800,Total Recepcionado:,21600,,
20-0903-00-1041406-0-E,Total Adjudicado:,56000,Total Recepcionado:,56000,,
20-1208-00-1092028-1-1,Total Referencial:,41947,Total Adjudicado:,39550,Total Recepcionado:,39550
20-1208-00-1092028-1-1,Total Referencial:,269528,Total Adjudicado:,269465,Total Recepcionado:,269465
20-1208-00-1092028-1-1,Total Referencial:,40800,Total Adjudicado:,40200,Total Recepcionado:,40200
20-1208-00-1092028-1-1,Total Referencial:,96800,Total Adjudicado:,87430,Total Recepcionado:,87430
20-1208-00-1092028-1-1,Total Referencial:,198390,Total Adjudicado:,197640,Total Recepcionado:,197640
20-1208-00-1092028-1-1,Total Referencial:,2475,Total Adjudicado:,2400,Total Recepcionado:,
20-1201-00-1089684-1-1,Total Referencial:,42731,Total Recepcionado:,42731,,
21-1201-00-1168860-1-1,Total Referencial:,198700,Total Adjudicado:,197086,Total Recepcionado:,197086
21-0903-00-1180493-1-1,Total Referencial:,146800,Total Adjudicado:,67895,Total Recepcionado:,67895
20-1707-00-1074111-1-1,Total Referencial:,8310,Total Recepcionado:,8310,,
20-1201-00-1089694-1-1,Total Referencial:,49856,Total Recepcionado:,49856,,
20-1415-00-1051659-0-E,Total Adjudicado:,66000,Total Recepcionado:,66000,,
21-0907-08-1146037-1-1,Total Referencial:,49994,Total Recepcionado:,30174.95,,
21-0139-00-1115574-1-1,Total Referencial:,43260,Total Recepcionado:,43260,,
21-0781-00-1113700-1-1,Total Referencial:,130000,Total Adjudicado:,1450,Total Recepcionado:,1450
21-0902-43-1184436-1-1,Total Referencial:,34846,Total Recepcionado:,28086,,
21-0340-00-1151904-1-2,Total Referencial:,46500,Total Recepcionado:,42585,,
21-1702-00-1161686-1-1,Total Referencial:,50000,Total Recepcionado:,50000,,
20-0903-00-1095718-1-1,Total Referencial:,2580424.22,Total Recepcionado:,2565063.52,,
21-0423-00-1145033-1-1,Total Referencial:,49140.2,Total Recepcionado:,48940.2,,
20-1501-00-1095753-1-1,Total Referencial:,33750,Total Recepcionado:,26700,,
20-0046-31-1050566-0-E,Total Adjudicado:,28740,Total Recepcionado:,28740,,
20-1512-00-1098300-1-1,Total Referencial:,120178,Total Adjudicado:,108288,Total Recepcionado:,108288
20-0905-00-1038618-0-E,Total Adjudicado:,44340,Total Recepcionado:,44340,,
20-1302-00-1039561-0-E,Total Adjudicado:,26000,Total Recepcionado:,26000,,
20-0046-26-1045022-0-E,Total Adjudicado:,37400,Total Recepcionado:,37400,,
20-0907-00-1084093-1-1,Total Referencial:,5693028,Total Adjudicado:,5408111.4,Total Recepcionado:,5408111.4
20-1121-00-1052513-0-E,Total Adjudicado:,48819,Total Recepcionado:,48819,,
21-0417-03-1159650-1-1,Total Referencial:,30420,Total Recepcionado:,23660,,
21-1601-00-1149496-1-1,Total Referencial:,49545,Total Recepcionado:,29700,,
21-0417-09-1152827-1-1,Total Referencial:,50000,Total Recepcionado:,50000,,
21-0139-00-1120893-1-1,Total Referencial:,40000,Total Recepcionado:,38000,,
21-2315-00-1131118-1-1,Total Referencial:,250560,Total Adjudicado:,158544,Total Recepcionado:,158544
20-1810-00-1095167-1-1,Total Referencial:,24300,Total Recepcionado:,24300,,
20-0417-06-1062063-3-1,Total Referencial:,702076,Total Adjudicado:,702076,Total Recepcionado:,702076
21-1706-00-1151311-1-1,Total Referencial:,145788.8,Total Recepcionado:,145788.8,,
20-1734-00-1094193-1-1,Total Referencial:,200000,Total Adjudicado:,199872,Total Recepcionado:,199872
20-1734-00-1046566-0-E,Total Adjudicado:,36000,Total Recepcionado:,36000,,
20-0417-07-1094004-1-1,Total Referencial:,675182.64,Total Recepcionado:,675182.64,,
20-1301-00-1048720-0-E,Total Adjudicado:,300000,Total Recepcionado:,300000,,
20-1805-00-1038780-0-E,Total Adjudicado:,50000,Total Recepcionado:,50000,,
21-1412-00-1184376-1-1,Total Referencial:,94440,Total Adjudicado:,92260,Total Recepcionado:,92260
