cuce,#,CodigoUNSPSC,ObjetodeGasto,DescripciondelBienoServicio,UnidaddeMedida,Cantidad,PrecioReferencialUnitario,PrecioReferencialTotal,NombreoRazonSocialdelProponenteAdjudicado,PrecioUnitarioAdjudicado,TotalAdjudicado,CantidadRecepcionada,PrecioUnitarioReal,MontoRealejecutado,Estado,Cronograma,Nombreproponente,MontoAdjudicado,Nro.de,Montode,Fechade,Monto,Fechade.1,RUPE,TipodeDocumento,Formulario,Fecha
20-1523-00-1086762-1-1,8,4110000,43400,Catre hospitalario con barandillas,PIEZA,"4,00","4.750,00","19.000,00",ARMIJO CANAVIRI GUIDO CRISTHIAN,"4.750,00","19.000,00","4,00","4.750,00","19.000,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1523-00-1086762-1-1,9,4110000,43400,Fonendoscopio,PIEZA,"1,00","1.200,00","1.200,00",ARMIJO CANAVIRI GUIDO CRISTHIAN,"1.000,00","1.000,00","1,00","1.000,00","1.000,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1523-00-1086762-1-1,10,4110000,43400,Aspirador de secreciones,PIEZA,"2,00","9.300,00","18.600,00",,,,,,"18.600,00",Cancelado,Cronograma 0,,,,,,,,,,,
20-1523-00-1086762-1-1,11,4110000,43400,Monitor de signos vitales,PIEZA,"3,00","18.900,00","56.700,00",MAMANI DE MARCA ANA MARIA,"18.900,00","56.700,00","3,00","18.900,00","56.700,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1523-00-1086762-1-1,12,4110000,43400,Oximetro de pulso de dedo adulto,PIEZA,"3,00","350,00","1.050,00",ARMIJO CANAVIRI GUIDO CRISTHIAN,"350,00","1.050,00","3,00","350,00","1.050,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1523-00-1086762-1-1,13,4110000,43400,Oximetro de pulso de dedo pediátrico,PIEZA,"15,00","380,00","5.700,00",ARMIJO CANAVIRI GUIDO CRISTHIAN,"380,00","5.700,00","15,00","380,00","5.700,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1523-00-1086762-1-1,14,4110000,43400,Tensiómetro,PIEZA,"1,00","800,00","800,00",ARMIJO CANAVIRI GUIDO CRISTHIAN,"450,00","450,00","1,00","450,00","450,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1523-00-1086762-1-1,15,4110000,43400,Esterilizador de calor seco (pupinel),PIEZA,"1,00","10.500,00","10.500,00",MAMANI DE MARCA ANA MARIA,"10.450,00","10.450,00","1,00","10.450,00","10.450,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1328-00-1062783-1-1,1,,,,,,,,,,,,,,,,TERRAZAS RIVAS MIGUEL ANGEL,"2,120.00",16/2020,"2,120.00",05/10/2020,"2,120.00",08/10/2020,1094420,,,
20-1328-00-1062783-1-1,2,,,,,,,,,,,,,,,,IBARRA RIOS VERONICA,"1,000.00",18/2020,"1,000.00",05/10/2020,"1,000.00",12/10/2020,1097346,,,
20-1328-00-1062783-1-1,3,,,,,,,,,,,,,,,,PUIG VARGAS ISRAEL CRISTOFER,"4,420.50",15/2020,"4,420.50",05/10/2020,"4,420.50",09/10/2020,1094150,,,
20-1328-00-1062783-1-1,4,,,,,,,,,,,,,,,,AGUILAR QUIROGA ARIEL,"54,800.00",17/2020,"54,800.00",05/10/2020,"54,800.00",16/10/2020,1094751,,,
20-1328-00-1062783-1-1,5,,,,,,,,,,,,,,,,MILCAR SRL,"4,800.00",14/2020,"4,800.00",05/10/2020,"4,800.00",08/10/2020,1096478,,,
20-1328-00-1062783-1-1,6,,,,,,,,,,,,,,,,COCABIA MONTAÑO CARLA LORENA,"4,800.00",19/2020,"4,800.00",05/10/2020,"4,800.00",08/10/2020,1095356,,,
20-1328-00-1062783-1-1,7,,,,,,,,,,,,,,,,PEREZ ZEGARRA CARLOS ANDRES,"19,950.00",21/2020,"19,950.00",05/10/2020,"6,000.00",15/10/2020,1096568,,,
20-1316-00-1055996-1-1,1,5121000,34200,Azitromicina Comprimido,500 mg,"6,500.00",5.56,"36,140.00",LABORATORIOS IFA S.A.,5.5,"35,750.00","6,500.00",5.5,"35,750.00",Contratado,Cronograma 0,,,,,,,,,,,
20-1316-00-1055996-1-1,2,5121000,34200,Acido Ascorbico (Vitamina C) granulado,1 gramo so,"24,800.0",2.58,"63,984.00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
20-1316-00-1055996-1-1,3,5121000,34200,Zinc (como sulfato) Comprimido,20 mg,"20,000.0",0.73,"14,600.00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
20-1316-00-1055996-1-1,4,5121000,34200,Ivermectina comprimido,6mg,"4,200.00",14.7,"61,740.00",LABORATORIOS IFA S.A.,7.8,"32,760.00","4,200.00",7.8,"32,760.00",Contratado,Cronograma 0,,,,,,,,,,,
20-1316-00-1055996-1-1,5,5121000,34200,Dextrometorfano bromhidrato 10 mg/5 ml,Jarabe,924.00,9.59,"8,861.16",MEJIA MEDRANO EDITH ROXANA,9.59,"8,861.16",924.00,9.59,"8,861.16",Contratado,Cronograma 0,,,,,,,,,,,
20-1316-00-1055996-1-1,6,5121000,34200,Salbutamol Aerosol,"0,1 mg/inh",150.00,20.93,"3,139.50",MEJIA MEDRANO EDITH ROXANA,20.5,"3,075.00",150.00,20.5,"3,075.00",Contratado,Cronograma 0,,,,,,,,,,,
20-1316-00-1055996-1-1,7,5121000,34200,Zinc (como sulfato) 20 mg/5 ml,Jarabe,500.00,15.23,"7,615.00",LABORATORIOS IFA S.A.,9.0,"4,500.00",500.00,9.0,"4,500.00",Contratado,Cronograma 0,,,,,,,,,,,
20-1316-00-1055996-1-1,8,5121000,34200,Ibuprofeno Comprimido,400 mg,"8,000.00",0.31,"2,480.00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
20-1316-00-1055996-1-1,9,5121000,34200,Ácido acetil salicílico Comprimido,100 mg,"5,500.00",0.26,"1,430.00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
20-0147-00-1086393-1-1,1,4713000,34200,Lavandina,litros,"45,00","15,00","675,00",CORTEZ TINEO DANIEL ERNESTO,"15,00","675,00",,,"675,00",Resuelto,Cronograma 0,,,,,,,,,,,
20-0147-00-1086393-1-1,2,4713000,39100,Bolsas negra,Piezas,"180,00","1,00","180,00",CORTEZ TINEO DANIEL ERNESTO,"1,00","180,00",,,"180,00",Resuelto,Cronograma 0,,,,,,,,,,,
20-0147-00-1086393-1-1,3,4713000,39100,Detergente,Bolsas,"11,00","15,00","165,00",CORTEZ TINEO DANIEL ERNESTO,"15,00","165,00",,,"165,00",Resuelto,Cronograma 0,,,,,,,,,,,
20-0147-00-1086393-1-1,4,4713000,39100,Ambientador en SPRAY,Piezas,"12,00","12,00","144,00",CORTEZ TINEO DANIEL ERNESTO,"12,00","144,00",,,"144,00",Resuelto,Cronograma 0,,,,,,,,,,,
20-0147-00-1086393-1-1,5,4713000,39100,Limpia vidrios Spray,Pzas.,"3,00","13,50","40,50",CORTEZ TINEO DANIEL ERNESTO,"13,50","40,50",,,"40,50",Resuelto,Cronograma 0,,,,,,,,,,,
20-0147-00-1086393-1-1,6,4713000,39100,Goma para destapar baños,Pzas.,"2,00","13,00","26,00",CORTEZ TINEO DANIEL ERNESTO,"13,00","26,00",,,"26,00",Resuelto,Cronograma 0,,,,,,,,,,,
20-0147-00-1086393-1-1,7,4713000,39100,Trapo de limpieza,Pzas.,"12,00","5,00","60,00",CORTEZ TINEO DANIEL ERNESTO,"5,00","60,00",,,"60,00",Resuelto,Cronograma 0,,,,,,,,,,,
20-0147-00-1086393-1-1,8,4713000,39100,Escobas,Pzas.,"3,00","19,00","57,00",CORTEZ TINEO DANIEL ERNESTO,"19,00","57,00",,,"57,00",Resuelto,Cronograma 0,,,,,,,,,,,
20-0147-00-1086393-1-1,9,4713000,39100,Limpia baños,Pzas.,"12,00","18,00","216,00",CORTEZ TINEO DANIEL ERNESTO,"18,00","216,00",,,"216,00",Resuelto,Cronograma 0,,,,,,,,,,,
20-0147-00-1086393-1-1,10,4713000,39100,Trapeador mopa microfibra,Pzas.,"3,00","20,00","60,00",CORTEZ TINEO DANIEL ERNESTO,"20,00","60,00",,,"60,00",Resuelto,Cronograma 0,,,,,,,,,,,
20-0147-00-1086393-1-1,11,4713000,39100,Jaboncillo,Piezas,"12,00","5,50","66,00",CORTEZ TINEO DANIEL ERNESTO,"5,50","66,00",,,"66,00",Resuelto,Cronograma 0,,,,,,,,,,,
20-0147-00-1086393-1-1,12,4713000,39100,Repasadores de muebles,Unidades,"10,00","5,50","55,00",CORTEZ TINEO DANIEL ERNESTO,"5,50","55,00",,,"55,00",Resuelto,Cronograma 0,,,,,,,,,,,
20-0147-00-1086393-1-1,13,4713000,39100,Levanta basura,Pzas.,"2,00","10,00","20,00",CORTEZ TINEO DANIEL ERNESTO,"10,00","20,00",,,"20,00",Resuelto,Cronograma 0,,,,,,,,,,,
20-0147-00-1086393-1-1,14,4713000,39100,Guantes,Pares,"3,00","6,00","18,00",CORTEZ TINEO DANIEL ERNESTO,"6,00","18,00",,,"18,00",Resuelto,Cronograma 0,,,,,,,,,,,
20-0147-00-1086393-1-1,15,4713000,39100,Gomas para pisos,Pzas.,"10,00","45,00","450,00",CORTEZ TINEO DANIEL ERNESTO,"45,00","450,00",,,"450,00",Resuelto,Cronograma 0,,,,,,,,,,,
20-0147-00-1086393-1-1,16,4713000,39100,Basureros de plastico,Pzas.,"2,00","90,00","180,00",CORTEZ TINEO DANIEL ERNESTO,"90,00","180,00",,,"180,00",Resuelto,Cronograma 0,,,,,,,,,,,
20-0147-00-1086393-1-1,17,4713000,39100,Basurero,Pzas.,"14,00","44,00","616,00",CORTEZ TINEO DANIEL ERNESTO,"44,00","616,00",,,"616,00",Resuelto,Cronograma 0,,,,,,,,,,,
20-0147-00-1086393-1-1,18,4713000,39100,Baldes de plastico de 10 Lts.,Pzas.,"2,00","17,00","34,00",CORTEZ TINEO DANIEL ERNESTO,"17,00","34,00",,,"34,00",Resuelto,Cronograma 0,,,,,,,,,,,
20-0147-00-1086393-1-1,19,4713000,39100,Jabón neutro,Pzas.,"12,00","3,00","36,00",CORTEZ TINEO DANIEL ERNESTO,"3,00","36,00",,,"36,00",Resuelto,Cronograma 0,,,,,,,,,,,
20-0147-00-1086393-1-1,20,4713000,39100,Papel higiénico,Paquete,"2,00","36,00","72,00",CORTEZ TINEO DANIEL ERNESTO,"36,00","72,00",,,"72,00",Resuelto,Cronograma 0,,,,,,,,,,,
20-1228-00-1086369-1-1,1,7212000,25900,(IMPLEMENTACION DEL BLOQUE DE AISLAMIENTO COVID-19 C.S. TACACOMA) FASE 2,GLB,1.0,"49,934.92","49,934.92",,,,1.0,"49,934.92","49,934.92",Contratado,Cronograma 0,,,,,,,,,,,
21-0417-09-1107924-1-1,1,5121000,34200,OXIGENO MEDICINAL,M3,"111.100,","9,00","999.900,00",PRAXAIR BOLIVIA S.R.L.,"9,00","999.900,00","111.100,0 0","9,00","999.900,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1201-00-1050637-0-E,1,5121000,34200,OXIGENO MEDICINAL- CILINDRO CARGADO CON OXIGENO GAS MED. DE 6M3 (NO INCLUYE CILINDRO) (SEGUN ESPECIFICACIONES TECNICAS),TUBO,"625,00",,,3 H INDUSTRIALES S.R.L.,"80,00","50.000,00","625,00","80,00","50.000,00",Contratado,Cronograma,,,,,,,,,,,
20-1201-00-1086086-1-1,1,7210000,24110,SERVICIO DE REFACCION HABILITACION DE AREAS ROJAS PARA ATENCION DE PACIENTES (COVID-19) - HOSPITAL MUNICIPAL COTAHUMA GESTION 2020,SERVICI O,"1,00","50.000,00","50.000,00",,,,"1,00","50.000,00","50.000,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1749-00-1083520-1-1,1,4218000,43400,ANALIZADOR HEMATOLOGICO,UNID,1.0,"56,700.00","56,700.00",,,,1.0,"56,700.00","56,700.00",Contratado,Cronograma 0,,,,,,,,,,,
20-0781-00-1082240-1-1,1,4712000,43700,MOTOFUMIGADORA,PZA.,"4,00","2.000,00","8.000,00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
20-0781-00-1082240-1-1,2,4712000,43700,UNIDAD PORTATOL UV-C,PZA.,"4,00","12.500,00","50.000,00",GASTELU MUÑIZ PEDRO JAVIER,"12.450,00","49.800,00","4,00","12.450,00","49.800,00",Contratado,Cronograma 0,,,,,,,,,,,
20-0906-03-1038824-0-E,1,1214000,34200,OXIGENO,GAS,746.0,,,RAMOS PARADA JASEL ROSARIO,60.0,"44,760.00",746.0,60.0,"44,760.00",Contratado,Cronograma,,,,,,,,,,,
20-0411-00-1076866-1-1,1,4220000,43400,TOMOGRAFO DE 64 CORTES PARA EL SERVICIO DE IMAGENOLOGIA PARA LA ATENCION DE PACIENTES CON COVID-19,EQUIPO,"1,00","9.500.000,00","9.500.000,00",,,,"1,00","9.500.000,00","9.500.000,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1306-00-1056240-1-1,1,4110000,43700,ADQUISICION DE UNA PLANTA GENERADORA DE OXIGENO PARA EL HOSPITAL ANDRES CUSCHIERI EN ATENCION A LA DEMANDA POR COVID-19,PIEZA,1.00,"275,000.00","275,000.00",CLAVIJO DOYNEL JAIME,"271,500.00","271,500.00",1.0,"271,500.00","271,500.00",Contratado,Cronograma 0,,,,,,,,,,,
20-1342-00-1088324-1-1,1,4111000,43400,VIDEOLARINGOSCOPIO,PZA,"2,00","20.450,00","40.900,00",,,,"2,00","20.450,00","40.900,00",Contratado,Cronograma 0,,,,,,,,,,,
21-0417-06-1143362-1-1,1,2313150,43400,Cilindros o brilladoras - TUBOS DE OXIGENO DE 8M3 MAS ACCESORIOS,EQUIPO,6.0,"4,200.00","25,200.00",,,,6.0,"3,990.00","23,940.00",Contratado,Cronograma 0,,,,,,,,,,,
20-1507-00-1062643-1-1,1,5112000,34200,Amoxicilina + Acido Clavulanico Suspencion,250 Mg/ml,"100,00","56,36","5.636,00",LABORATORIOS IFA S.A.,"40,00","4.000,00","100,00","40,00","4.000,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1507-00-1062643-1-1,2,5112000,34200,ibermectinaComprimido,6 Mg,"1.000,00","10,50","10.500,00",,,,,,,Las propuestas no cumplieron aspectos tecnicos/admini strativos,Cronograma 0,,,,,,,,,,,
20-1507-00-1062643-1-1,3,5112000,34200,Codeina Jarabe,10 Mg,"100,00","17,81","1.781,00",LABORATORIOS IFA S.A.,"13,00","1.300,00","100,00","13,00","1.300,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1507-00-1062643-1-1,4,5112000,34200,LoperamidaComprimido,2 Mg,"100,00","0,34","34,00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
20-1507-00-1062643-1-1,5,5112000,34200,OmeprazolCapsula,20 Mg,"2.000,00","0,57","1.140,00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
20-1507-00-1062643-1-1,6,5112000,34200,Paracetamol Jarabe,120 Mg,"100,00","7,85","785,00",LABORATORIOS IFA S.A.,"5,00","500,00","100,00","5,00","500,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1507-00-1062643-1-1,7,5112000,34200,Paracetamol Gotas,100 Mg,"100,00","5,73","573,00",LABORATORIOS IFA S.A.,"4,00","400,00","100,00","4,00","400,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1507-00-1062643-1-1,8,5112000,34200,Vitamina C  Comprimido,1 Gr,"2.000,00","2,50","5.000,00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
20-1507-00-1062643-1-1,9,5112000,34200,Paracetamol comprimido,100 Mg,"1.000,00","0,50","500,00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
20-1507-00-1062643-1-1,10,5112000,34200,Sulfato de Zinc Comprimido,20 Mg,"5.000,00","0,73","3.650,00",,,,,,,Las propuestas no cumplieron aspectos tecnicos/admini strativos,Cronograma 0,,,,,,,,,,,
20-1507-00-1062643-1-1,11,5112000,34200,Omega 3 Cpsula,1000 Mg,"5.000,00","3,50","17.500,00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
20-1507-00-1062643-1-1,12,5112000,34200,Vitamina D3 Capsula,200 Ul,"5.000,00","1,50","7.500,00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
20-1507-00-1062643-1-1,13,5112000,34200,Vitamina D3 Gotas,200 Ul,"100,00","70,00","7.000,00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
20-0417-09-1076608-1-1,1,3913000,39800,Otros Repuestos Y Accesorios Concentrador De Oxigeno Medicinal.,GLOBAL,"1,00","234.708,00","234.708,00",ANTEZANA  CARLOS LEOPOLDO,"234.708,00","234.708,00","1,00","234.708,00","234.708,00",Contratado,Cronograma 0,,,,,,,,,,,
21-1101-00-1141465-1-1,1,7310170,34200,"Servicios de producción de productos farmacéuticos - Servicio De Recargado De Oxigeno, Tipo Uso Medicinal (2021-01096)",servicio,"1,00","50.000,00","50.000,00",,,,"1,00","50.000,00","50.000,00",Contratado,Cronograma 0,,,,,,,,,,,
20-0417-01-1088584-1-1,1,5121000,34200,MEDIOS DE TRANSPORTE VIRAL DE 3 ML,CAJA,70.0,"1,400.00","98,000.00",,,,70.0,592.5,"41,475.00",Contratado,Cronograma 0,,,,,,,,,,,
20-1810-00-1046870-0-E,1,4227000,39400,MANOMETROS DE FLUJO (REGULADOR DE FLUJO PARA OXIGENO DE 0 A 15 LPM CON SU RESPECTIVA MASCARILLA Y HUMIDIFICADOR),PIEZAS,"20,00",,,QUISPE PEREZ OWALDO,"1.650,00","33.000,00","20,00","1.650,00","33.000,00",Contratado,Cronograma,,,,,,,,,,,
21-0418-10-1185617-2-1,1,4111561,34200,Sondas de oxigeno disuelto - 3 Metros Cubicos por Botellon de 1.500 PSI,Pieza,"91,00","60,00","5.460,00",PANIAGUA FERNANDEZ LORENZO,"59,00","5.369,00",,,,Contratado,Cronograma 0,,,,,,,,,,,
21-0418-10-1185617-2-1,2,4111561,34200,Sondas de oxigeno disuelto - 6 Metros Cubicos x Botellon de 2.000 PSI,Pieza,"339,00","160,00","54.240,00",PANIAGUA FERNANDEZ LORENZO,"155,00","52.545,00",,,,Contratado,Cronograma 0,,,,,,,,,,,
20-0435-00-1043192-0-E,1,8510000,25120,SERVICIO DE ENTREGA DE CILINDROS DE OXIGENOS PARA LA CLINICA SINEC I,SERVICI O,1.0,,,NITROX SRL,"50,000.00","50,000.00",1.0,"50,000.00","50,000.00",Contratado,Cronograma,,,,,,,,,,,
20-1345-00-1065630-2-1,1,2510000,43330,AMBULANCIA,VEHICUL O,"3,00","400.040,00","1.200.120,00",TAIYO MOTORS S.A.,"398.808,00","1.196.424,00","3,00","398.808,00","1.196.424,00",Contratado,Cronograma 0,,,,,,,,,,,
21-0906-03-1139925-1-1,1,1214190,34200,Oxígeno o - OXIGENO MEDICINAL,GAS,"500,00","100,00","50.000,00",,,,"500,00","100,00","50.000,00",Contratado,Cronograma 0,,,,,,,,,,,
21-0046-37-1122906-1-2,1,4111311,43400,Analizadores de susceptibilidad paramagnética - Equipo Analizador Paramagnético para Control de Calidad de Oxigeno,Equipo,1.00,"210,250.00","210,250.00",B&S QUALITY SOCIEDAD DE RESPONSABILIDAD LIMITADA  B&S QUALITY S.R.L.,"204,000.00","204,000.00",1.0,"204,000.00","204,000.00",Contratado,Cronograma 0,,,,,,,,,,,
21-0046-37-1122906-1-2,2,4111311,43400,Analizadores de dióxido de carbono disuelto - Equipo para Análisis de Impureza (Trazas) de Dióxido de Carbono y Monóxido de Carbono en Oxigeno Medicinal,Equipo,1.00,"373,731.00","373,731.00",B&S QUALITY SOCIEDAD DE RESPONSABILIDAD LIMITADA  B&S QUALITY S.R.L.,"368,200.00","368,200.00",1.0,"368,200.00","368,200.00",Contratado,Cronograma 0,,,,,,,,,,,
20-1410-00-1070837-2-1,1,4218000,43400,PREVENCIÓN CONTROL Y ATENCIÓN DEL CORONAVIRUS (ADQUISICIÓN EQUIPO ECOGRAFO Y EQUIPOS DE LABORATORIO CLINICO GENERAL NIVEL I CENTRO DE SALUD VIRGEN DEL ROSARIO),GLB,1.00,"350,000.00","350,000.00",IMPORTADORA Y DISTRIBUIDORA PANYSA S.R.L.,"347,700.00","347,700.00",1.0,"347,700.00","347,700.00",Contratado,Cronograma 0,,,,,,,,,,,
20-0417-05-1040250-0-E,1,4110000,43400,CILINDRO DE OXIGENO MEDICINAL CARGADO CON VALVULA CGA-540,PZA.,16.0,,,PRAXAIR BOLIVIA S.R.L.,"1,540.00","24,640.00",16.0,"1,540.00","24,640.00",Contratado,Cronograma,,,,,,,,,,,
21-1301-00-1137297-1-1,1,1214190,34200,Oxígeno o - oxigeno gas 93 a 99%,m3,"2.777,00","18,00","49.986,00",,,,"2.777,00","9,50","26.381,50",Contratado,Cronograma 0,,,,,,,,,,,
20-0417-09-1047028-0-E,1,2410000,39800,20 PZA. MANOMETRO DE OXIGENO. ADMINISTRACION HIES LUO,PZA.,"20,00",,,MARTINEZ VILASECA ROBERTO,"2.500,00","50.000,00","20,00","2.500,00","50.000,00",Contratado,Cronograma,,,,,,,,,,,
20-0139-00-1083382-1-1,1,4112000,34200,COVID - 19 lgM ELISA X 96 DETERMINACIONES,KIT,3.0,"7,000.00","21,000.00",,,,3.0,"7,000.00","21,000.00",Contratado,Cronograma 0,,,,,,,,,,,
20-0139-00-1083382-1-1,2,4112000,34200,COVID - 19 lgG ELISA X 96 DETERMINACIONAES,KIT,3.0,"7,000.00","21,000.00",,,,3.0,"7,000.00","21,000.00",Contratado,Cronograma 0,,,,,,,,,,,
20-1201-00-1088269-1-1,1,5121000,34200,OXIGENO DE GAS MEDICINAL 6M3 (RECARGA- NO INCLUYE TUBO),M3,"3,756.00",13.3,"49,954.80",,,,"3,756.00",13.3,"49,954.80",Contratado,Cronograma 0,,,,,,,,,,,
